,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,매수,매도,거래금액,전용면적(평),평당가격,계약년도,계약월,주소,계약년월일
25,제주특별자치도 제주시 노형동,3781,3781,0,한빛지비조아,46.77,201612,26,"20,873",6,-,-,2016, ,-,-,-,,,208730000,14.147925,14753400.23360316,2016,12,제주특별자치도 제주시 노형동  ,2016-12-26
26,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,32.0,201612,22,"3,500",10,-,-,1992,중정로 123,-,-,-,,,35000000,9.68,3615702.479338843,2016,12,제주특별자치도 서귀포시 서귀동 중정로 123,2016-12-22
27,제주특별자치도 제주시 노형동,906-1,906,1,이화오피스텔,26.355,201612,21,"7,000",3,-,-,1991,도령로 50,-,-,-,,,70000000,7.9723875,8780305.774148585,2016,12,제주특별자치도 제주시 노형동 도령로 50,2016-12-21
28,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.855,201612,21,"9,500",10,-,-,1991,도령로 40,-,-,-,,,95000000,11.1486375,8521220.642432764,2016,12,제주특별자치도 제주시 노형동 도령로 40,2016-12-21
29,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.855,201612,21,"13,000",10,-,-,1991,도령로 40,-,-,-,,,130000000,11.1486375,11660617.721223783,2016,12,제주특별자치도 제주시 노형동 도령로 40,2016-12-21
30,제주특별자치도 제주시 연동,303-46,303,46,태림 수앤수,58.68,201612,21,"19,000",5,-,-,2015,문송길 40,-,-,-,,,190000000,17.7507,10703803.230295144,2016,12,제주특별자치도 제주시 연동 문송길 40,2016-12-21
31,제주특별자치도 제주시 연동,278,278,0,연동 풀하우스,21.75,201612,21,"8,800",4,-,-,2011,연동8길 29,-,-,-,,,88000000,6.579375,13375130.616509927,2016,12,제주특별자치도 제주시 연동 연동8길 29,2016-12-21
32,제주특별자치도 제주시 노형동,1294-4,1294,4,노형 에코하임,84.97,201612,20,"31,700",17,-,-,2012,도령로 37,-,-,-,,,317000000,25.703425,12332986.751765572,2016,12,제주특별자치도 제주시 노형동 도령로 37,2016-12-20
33,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,48.0,201612,19,"2,430",7,-,-,1992,중정로 123,-,-,-,,,24300000,14.52,1673553.7190082646,2016,12,제주특별자치도 서귀포시 서귀동 중정로 123,2016-12-19
34,제주특별자치도 서귀포시 대정읍 보성리,2476-13,2476,13,제주 이노에듀타운,25.742,201612,16,"11,263",2,-,-,2016,글로벌에듀로 382,-,-,-,,,112630000,7.786955,14463933.591500144,2016,12,제주특별자치도 서귀포시 대정읍 보성리 글로벌에듀로 382,2016-12-16
35,제주특별자치도 제주시 노형동,711,711,0,에이스텔,30.51,201612,16,"12,500",5,-,-,2003,연북로 8,-,-,-,,,125000000,9.229275,13543859.078855056,2016,12,제주특별자치도 제주시 노형동 연북로 8,2016-12-16
36,제주특별자치도 서귀포시 서귀동,544-2,544,2,디 아일랜드 블루 호텔,56.93,201612,15,"26,000",5,-,-,2013,태평로431번길 7,-,-,-,,,260000000,17.221325,15097560.727760494,2016,12,제주특별자치도 서귀포시 서귀동 태평로431번길 7,2016-12-15
37,제주특별자치도 서귀포시 호근동,2012,2012,0,하르빌호근,74.62,201612,13,"22,900",5,-,-,2016,중산간동로 8327,-,-,-,,,229000000,22.57255,10145065.577438083,2016,12,제주특별자치도 서귀포시 호근동 중산간동로 8327,2016-12-13
38,제주특별자치도 제주시 삼도일동,530-5,530,5,제동 해피죤 오피스텔,39.04,201612,12,"9,500",5,-,-,2004,서사로 94,-,-,-,,,95000000,11.8096,8044302.939981032,2016,12,제주특별자치도 제주시 삼도일동 서사로 94,2016-12-12
39,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.14,201612,12,"9,000",15,-,-,2004,연북로 41,-,-,-,,,90000000,6.09235,14772624.68505585,2016,12,제주특별자치도 제주시 노형동 연북로 41,2016-12-12
40,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,41.06,201612,12,"4,000",9,-,-,1994,태평로 438,-,-,-,,,40000000,12.42065,3220443.37454159,2016,12,제주특별자치도 서귀포시 서귀동 태평로 438,2016-12-12
41,제주특별자치도 서귀포시 동홍동,393-3,393,3,지예타워 V,80.0,201612,12,"18,818",4,-,-,2015,태평로 483,-,-,-,,,188180000,24.2,7776033.05785124,2016,12,제주특별자치도 서귀포시 동홍동 태평로 483,2016-12-12
42,제주특별자치도 제주시 삼도일동,530-5,530,5,제동 해피죤 오피스텔,39.04,201612,12,"9,500",3,-,-,2004,서사로 94,-,-,-,,,95000000,11.8096,8044302.939981032,2016,12,제주특별자치도 제주시 삼도일동 서사로 94,2016-12-12
43,제주특별자치도 서귀포시 호근동,2012,2012,0,하르빌호근,74.11,201612,11,"20,298",4,-,-,2016,중산간동로 8327,-,-,-,,,202980000,22.418274999999998,9054220.273415329,2016,12,제주특별자치도 서귀포시 호근동 중산간동로 8327,2016-12-11
44,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.855,201612,9,"8,000",8,-,-,1991,도령로 40,-,-,-,,,80000000,11.1486375,7175764.751522328,2016,12,제주특별자치도 제주시 노형동 도령로 40,2016-12-09
45,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0,201612,8,"7,500",8,-,-,1991,도령로 54,-,-,-,,,75000000,9.075,8264462.809917356,2016,12,제주특별자치도 제주시 노형동 도령로 54,2016-12-08
46,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,33.6,201612,8,"9,600",12,-,-,1990,도령로 87,-,-,-,,,96000000,10.164,9445100.354191264,2016,12,제주특별자치도 제주시 연동 도령로 87,2016-12-08
47,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,33.6,201612,8,"7,300",9,-,-,1990,도령로 87,-,-,-,,,73000000,10.164,7182211.727666274,2016,12,제주특별자치도 제주시 연동 도령로 87,2016-12-08
48,제주특별자치도 제주시 연동,304-19,304,19,월드룸,31.5,201612,7,"4,000",5,-,-,2001,비월길 2,-,-,-,,,40000000,9.52875,4197822.3796405615,2016,12,제주특별자치도 제주시 연동 비월길 2,2016-12-07
49,제주특별자치도 제주시 연동,304-19,304,19,월드룸,31.5,201612,7,"4,000",4,-,-,2001,비월길 2,-,-,-,,,40000000,9.52875,4197822.3796405615,2016,12,제주특별자치도 제주시 연동 비월길 2,2016-12-07
50,제주특별자치도 서귀포시 호근동,2012,2012,0,하르빌호근,74.03,201612,7,"23,000",4,-,-,2016,중산간동로 8327,-,-,-,,,230000000,22.394075,10270573.801329145,2016,12,제주특별자치도 서귀포시 호근동 중산간동로 8327,2016-12-07
51,제주특별자치도 서귀포시 법환동,1196-12,1196,12,루체클래식,84.7,201612,7,"29,300",5,-,-,2016,법환로 51,-,-,-,,,293000000,25.62175,11435596.709826613,2016,12,제주특별자치도 서귀포시 법환동 법환로 51,2016-12-07
52,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.855,201612,5,"12,000",8,-,-,1991,도령로 40,-,-,-,,,120000000,11.1486375,10763647.127283491,2016,12,제주특별자치도 제주시 노형동 도령로 40,2016-12-05
53,제주특별자치도 제주시 삼도일동,530-5,530,5,제동 해피죤 오피스텔,40.54,201612,1,"9,300",4,-,-,2004,서사로 94,-,-,-,,,93000000,12.263349999999999,7583572.188676015,2016,12,제주특별자치도 제주시 삼도일동 서사로 94,2016-12-01
54,제주특별자치도 제주시 외도일동,505-4,505,4,한탑주상복합,40.26,201612,1,"7,300",8,-,-,2008,우령2길 3-3,-,-,-,,,73000000,12.17865,5994096.225772151,2016,12,제주특별자치도 제주시 외도일동 우령2길 3-3,2016-12-01
55,제주특별자치도 제주시 연동,283-23,283,23,블루시티,29.63,201612,1,"9,550",6,-,-,2006,은남4길 27,-,-,-,,,95500000,8.963075,10654825.492367296,2016,12,제주특별자치도 제주시 연동 은남4길 27,2016-12-01
56,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.14,201611,30,"7,000",9,-,-,2004,연북로 45,-,-,-,,,70000000,6.09235,11489819.199487884,2016,11,제주특별자치도 제주시 노형동 연북로 45,2016-11-30
57,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.855,201611,30,"13,500",12,-,-,1991,도령로 40,-,-,-,,,135000000,11.1486375,12109103.018193929,2016,11,제주특별자치도 제주시 노형동 도령로 40,2016-11-30
58,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0,201611,28,"7,500",7,-,-,1991,도령로 54,-,-,-,,,75000000,9.075,8264462.809917356,2016,11,제주특별자치도 제주시 노형동 도령로 54,2016-11-28
59,제주특별자치도 제주시 연동,283-23,283,23,블루시티,37.56,201611,28,"10,400",6,-,-,2006,은남4길 27,-,-,-,,,104000000,11.3619,9153398.639312087,2016,11,제주특별자치도 제주시 연동 은남4길 27,2016-11-28
60,제주특별자치도 제주시 연동,306-12,306,12,진호 케스텔,29.19,201611,24,"5,500",2,-,-,2003,사장길 37,-,-,-,,,55000000,8.829975,6228783.207200474,2016,11,제주특별자치도 제주시 연동 사장길 37,2016-11-24
61,제주특별자치도 제주시 연동,272-33,272,33,로얄쇼핑센타및오피스텔,67.04,201611,23,"12,000",5,-,-,1992,신대로12길 51,-,-,-,,,120000000,20.279600000000002,5917276.474881161,2016,11,제주특별자치도 제주시 연동 신대로12길 51,2016-11-23
62,제주특별자치도 제주시 연동,283-23,283,23,블루시티,31.23,201611,23,"9,700",6,-,-,2006,은남4길 27,-,-,-,,,97000000,9.447075,10267728.370950798,2016,11,제주특별자치도 제주시 연동 은남4길 27,2016-11-23
63,제주특별자치도 제주시 노형동,711-2,711,2,이레하이텔,37.0,201611,22,"10,000",6,-,-,2003,연북로 12,-,-,-,,,100000000,11.192499999999999,8934554.389099844,2016,11,제주특별자치도 제주시 노형동 연북로 12,2016-11-22
64,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,32.0,201611,20,"3,500",4,-,-,1992,중정로 123,-,-,-,,,35000000,9.68,3615702.479338843,2016,11,제주특별자치도 서귀포시 서귀동 중정로 123,2016-11-20
