,단지명,내용,주소,위도,경도
10,(1987-2),"[요약]
(1987-2) 오피스텔은 제주특별자치도 제주시 이도이동에 있으며, 최근 6개월간 16건의 거래가 있었고 평균 평당 가격은 16,655,237원입니다. 가장 최근 거래는 2024년 06월, 8.9평, 16000억 원에 체결되었습니다. 6개월 전 대비 약 39.1% 상승했습니다.

[거래내역]
- 2024년 06월 28일 | 8.9평 | 1.6억 원
- 2020년 06월 23일 | 9.0평 | 1.1억 원
- 2019년 06월 5일 | 8.9평 | 1.5억 원
- 2019년 04월 19일 | 8.9평 | 1.3억 원
- 2019년 03월 21일 | 8.9평 | 1.5억 원
- 2019년 03월 8일 | 8.9평 | 1.5억 원
- 2019년 02월 25일 | 8.9평 | 1.5억 원
- 2019년 02월 25일 | 8.9평 | 1.5억 원
- 2019년 02월 25일 | 8.9평 | 1.5억 원
- 2019년 01월 22일 | 8.9평 | 1.5억 원
- 2019년 01월 22일 | 8.9평 | 1.5억 원
- 2019년 01월 16일 | 9.0평 | 1.5억 원
- 2019년 01월 14일 | 9.0평 | 1.5억 원
- 2019년 01월 11일 | 8.9평 | 1.5억 원
- 2019년 01월 11일 | 8.9평 | 1.5억 원
- 2019년 01월 10일 | 8.9평 | 1.5억 원",제주특별자치도 제주시 이도이동 남광로2길 22,33.4906970276315,126.538212519424
11,(2525-8),"[요약]
(2525-8) 오피스텔은 제주특별자치도 제주시 노형동에 있으며, 최근 6개월간 13건의 거래가 있었고 평균 평당 가격은 11,761,116원입니다. 가장 최근 거래는 2025년 05월, 25.6평, 30500억 원에 체결되었습니다. 6개월 전 대비 약 18.1% 상승했습니다.

[거래내역]
- 2025년 05월 31일 | 25.6평 | 3.0억 원
- 2022년 03월 31일 | 25.6평 | 2.6억 원
- 2022년 03월 31일 | 25.6평 | 2.7억 원
- 2022년 03월 31일 | 25.6평 | 2.7억 원
- 2022년 02월 23일 | 25.6평 | 3.5억 원
- 2021년 12월 30일 | 25.6평 | 2.8억 원
- 2021년 12월 8일 | 25.6평 | 2.9억 원
- 2021년 12월 7일 | 25.6평 | 2.9억 원
- 2021년 12월 2일 | 25.6평 | 2.9억 원
- 2021년 12월 2일 | 25.6평 | 2.9억 원
- 2021년 12월 2일 | 25.6평 | 2.8억 원
- 2020년 10월 8일 | 25.6평 | 3.7억 원
- 2020년 10월 8일 | 25.6평 | 3.8억 원",제주특별자치도 제주시 노형동 정존5길 23,33.4842163166578,126.473018489377
12,(262-8),"[요약]
(262-8) 오피스텔은 제주특별자치도 제주시 연동에 있으며, 최근 6개월간 1건의 거래가 있었고 평균 평당 가격은 2,519,653원입니다. 가장 최근 거래는 2022년 12월, 9.9평, 2500억 원에 체결되었습니다. 이전 거래와의 비교 정보는 부족합니다.

[거래내역]
- 2022년 12월 14일 | 9.9평 | 0.2억 원",제주특별자치도 제주시 연동 신광로 58,33.4870798836126,126.489654426738
13,(2627-5),"[요약]
(2627-5) 오피스텔은 제주특별자치도 제주시 도두일동에 있으며, 최근 6개월간 33건의 거래가 있었고 평균 평당 가격은 14,740,395원입니다. 가장 최근 거래는 2025년 04월, 6.7평, 14000억 원에 체결되었습니다. 6개월 전 대비 약 21.7% 상승했습니다.

[거래내역]
- 2025년 04월 30일 | 6.7평 | 1.4억 원
- 2025년 02월 21일 | 11.8평 | 1.5억 원
- 2024년 06월 29일 | 9.5평 | 1.1억 원
- 2024년 03월 4일 | 9.5평 | 1.0억 원
- 2024년 02월 5일 | 9.5평 | 1.3억 원
- 2024년 02월 5일 | 9.5평 | 1.3억 원
- 2023년 12월 13일 | 9.5평 | 1.3억 원
- 2023년 07월 20일 | 9.5평 | 1.4억 원
- 2023년 06월 12일 | 11.8평 | 2.0억 원
- 2023년 05월 26일 | 9.5평 | 1.5억 원
- 2023년 04월 26일 | 9.5평 | 1.3억 원
- 2023년 03월 6일 | 11.8평 | 1.2억 원
- 2022년 06월 3일 | 11.8평 | 1.4억 원
- 2021년 07월 8일 | 6.7평 | 1.2억 원
- 2020년 11월 30일 | 9.5평 | 1.4억 원
- 2020년 10월 10일 | 9.5평 | 1.5억 원
- 2020년 05월 6일 | 9.5평 | 1.5억 원
- 2019년 10월 31일 | 11.8평 | 1.8억 원
- 2019년 10월 10일 | 9.5평 | 1.5억 원
- 2019년 08월 29일 | 9.5평 | 1.6억 원",제주특별자치도 제주시 도두일동 도공로 9-10,,
14,(263-10),"[요약]
(263-10) 오피스텔은 제주특별자치도 제주시 연동에 있으며, 최근 6개월간 7건의 거래가 있었고 평균 평당 가격은 17,931,042원입니다. 가장 최근 거래는 2018년 07월, 8.2평, 14390억 원에 체결되었습니다. 이전 거래와의 비교 정보는 부족합니다.

[거래내역]
- 2018년 07월 15일 | 8.2평 | 1.4억 원
- 2018년 06월 28일 | 8.1평 | 1.4억 원
- 2018년 05월 29일 | 9.2평 | 1.7억 원
- 2018년 05월 28일 | 8.2평 | 1.4억 원
- 2018년 05월 28일 | 9.2평 | 1.7억 원
- 2018년 05월 25일 | 9.2평 | 1.7억 원
- 2018년 05월 25일 | 8.1평 | 1.4억 원",제주특별자치도 제주시 연동 연동6길 11,33.4846982255351,126.489410810535
15,(284-32),"[요약]
(284-32) 오피스텔은 제주특별자치도 서귀포시 서귀동에 있으며, 최근 6개월간 1건의 거래가 있었고 평균 평당 가격은 9,598,679원입니다. 가장 최근 거래는 2016년 06월, 7.8평, 7500억 원에 체결되었습니다. 이전 거래와의 비교 정보는 부족합니다.

[거래내역]
- 2016년 06월 4일 | 7.8평 | 0.8억 원",제주특별자치도 서귀포시 서귀동 일주동로 8671,33.2530910639216,126.562044995228
16,(418-3),"[요약]
(418-3) 오피스텔은 제주특별자치도 제주시 외도일동에 있으며, 최근 6개월간 10건의 거래가 있었고 평균 평당 가격은 12,221,506원입니다. 가장 최근 거래는 2024년 04월, 18.1평, 22000억 원에 체결되었습니다. 6개월 전 대비 약 1.4% 상승했습니다.

[거래내역]
- 2024년 04월 1일 | 18.1평 | 2.2억 원
- 2024년 04월 1일 | 17.4평 | 2.3억 원
- 2023년 11월 22일 | 18.1평 | 2.2억 원
- 2022년 11월 1일 | 18.1평 | 2.2억 원
- 2022년 05월 23일 | 17.4평 | 2.2억 원
- 2022년 05월 15일 | 18.1평 | 2.2억 원
- 2022년 04월 22일 | 18.1평 | 2.3억 원
- 2021년 11월 18일 | 18.1평 | 2.1억 원
- 2019년 01월 5일 | 18.1평 | 2.1억 원
- 2018년 02월 7일 | 18.1평 | 2.2억 원",제주특별자치도 제주시 외도일동 우정로 10,33.4920368565868,126.430715500658
17,(557-1),"[요약]
(557-1) 오피스텔은 제주특별자치도 서귀포시 대정읍 하모리에 있으며, 최근 6개월간 4건의 거래가 있었고 평균 평당 가격은 10,389,054원입니다. 가장 최근 거래는 2022년 07월, 11.8평, 8000억 원에 체결되었습니다. 6개월 전 대비 약 27.3% 하락했습니다.

[거래내역]
- 2022년 07월 27일 | 11.8평 | 0.8억 원
- 2020년 05월 6일 | 10.6평 | 1.1억 원
- 2017년 07월 18일 | 10.6평 | 1.2억 원
- 2017년 07월 15일 | 9.6평 | 1.2억 원",제주특별자치도 서귀포시 대정읍 하모리 최남단해안로125번길 35,33.2144616575019,126.257401679654
18,(6092-11),"[요약]
(6092-11) 오피스텔은 제주특별자치도 제주시 아라일동에 있으며, 최근 6개월간 2건의 거래가 있었고 평균 평당 가격은 12,628,623원입니다. 가장 최근 거래는 2025년 03월, 25.6평, 35500억 원에 체결되었습니다. 6개월 전 대비 약 21.7% 상승했습니다.

[거래내역]
- 2025년 03월 31일 | 25.6평 | 3.5억 원
- 2016년 02월 16일 | 25.6평 | 2.9억 원",제주특별자치도 제주시 아라일동  ,33.3926047439583,126.56389619775
19,(637-6),"[요약]
(637-6) 오피스텔은 제주특별자치도 제주시 외도일동에 있으며, 최근 6개월간 4건의 거래가 있었고 평균 평당 가격은 11,255,815원입니다. 가장 최근 거래는 2023년 12월, 25.7평, 28000억 원에 체결되었습니다. 6개월 전 대비 약 4.1% 하락했습니다.

[거래내역]
- 2023년 12월 27일 | 25.7평 | 2.8억 원
- 2020년 10월 29일 | 25.7평 | 2.9억 원
- 2020년 05월 6일 | 25.7평 | 3.0억 원
- 2020년 02월 5일 | 25.7평 | 2.9억 원",제주특별자치도 제주시 외도일동 우령2길 44,33.4854090270481,126.431347848462
