NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 서귀포시 서홍동,344-3,344,3,세림,81.1600,201912,31,"14,000",-,3,-,-,1990,홍중로 75,-,-,-,-
2,제주특별자치도 제주시 도남동,69-1,69,1,수선화(69-1)2차,39.6500,201912,31,"10,100",-,5,-,-,1993,도남로 129,-,-,-,-
3,제주특별자치도 제주시 한림읍 대림리,1884-1,1884,1,대림위듀파크,59.8956,201912,31,"16,000",-,5,-,-,2018,한림상로 241,-,-,-,-
4,제주특별자치도 제주시 아라일동,6121,6121,0,아라아이파크,84.9813,201912,31,"56,000",-,2,-,-,2013,인다1길 20,-,-,-,-
5,제주특별자치도 제주시 이도일동,1536-1,1536,1,공간아트빌,83.4600,201912,31,"22,000",-,7,-,-,2003,성지로 6,-,-,-,-
6,제주특별자치도 제주시 용담이동,2706-1,2706,1,장원하이빌아파트,84.6390,201912,31,"23,000",-,6,-,-,2007,용문로14길 14,-,-,-,-
7,제주특별자치도 제주시 아라일동,6088,6088,0,아라스위첸,133.2801,201912,31,"80,000",-,11,-,-,2012,아란9길 22,-,-,-,-
8,제주특별자치도 제주시 도련일동,1911,1911,0,제주삼화사랑으로부영6차,84.3616,201912,31,"33,500",-,5,-,-,2013,화삼로 107,-,-,-,-
9,제주특별자치도 서귀포시 서귀동,296-38,296,38,삼다2차빌라트,84.5300,201912,31,"20,000",-,3,-,-,2005,중앙로71번길 5,-,-,-,-
10,제주특별자치도 서귀포시 동홍동,147,147,0,주공1,39.6900,201912,30,"13,000",-,2,-,-,1988,동홍중앙로 10,-,-,-,-
11,제주특별자치도 제주시 이도일동,1694-1,1694,1,삼성2차미화아파트,74.3100,201912,30,"8,500",-,5,-,-,1990,오현길 24,-,-,-,-
12,제주특별자치도 제주시 이도이동,888,888,0,주공1,49.2200,201912,30,"51,000",-,1,-,-,1985,구남로7길 36,-,-,-,-
13,제주특별자치도 제주시 연동,268-6,268,6,도원아미스,84.6900,201912,30,"21,000",-,10,-,-,2004,연동6길 29,-,-,-,-
14,제주특별자치도 제주시 연동,294-85,294,85,엘리시아,30.1300,201912,30,"7,000",-,8,-,-,2013,사장1길 16,-,-,-,-
15,제주특별자치도 제주시 노형동,1283-6,1283,6,미듬리드빌원룸,26.5500,201912,30,"4,800",-,3,-,-,2001,수덕5길 13,-,-,-,-
16,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,101.8684,201912,30,"40,537",-,4,-,-,2017,첨단로동길 74,-,-,-,-
17,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,201912,30,"22,500",-,5,-,-,2001,과원로 11,-,-,-,-
18,제주특별자치도 제주시 연동,294-85,294,85,엘리시아,24.4300,201912,30,"6,000",-,9,-,-,2013,사장1길 16,-,-,-,-
19,제주특별자치도 서귀포시 동홍동,528-1,528,1,동홍동파밀리움,76.7005,201912,30,"30,000",-,1,-,-,2018,장수로 8,-,-,-,-
20,제주특별자치도 제주시 이도일동,1692-2,1692,2,신세계에덴,84.8560,201912,30,"18,800",-,7,-,-,1995,오현길 9,-,-,-,-
21,제주특별자치도 제주시 이도이동,1909-19,1909,19,이도동아,59.9280,201912,30,"21,500",-,3,-,-,1996,독짓골8길 67,-,-,-,-
22,제주특별자치도 제주시 일도이동,330-13,330,13,지산20차인화위더스빌,35.1800,201912,29,"13,000",-,8,-,-,2013,고마로10길 4,-,-,-,-
23,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,201912,29,"40,000",-,8,-,-,2016,대청로 12,-,-,-,-
24,제주특별자치도 제주시 연동,280-9,280,9,조양,84.6600,201912,29,"22,000",-,6,-,-,2005,연삼로 8,-,-,-,-
25,제주특별자치도 서귀포시 동홍동,147,147,0,주공1,39.6900,201912,28,"11,900",-,3,-,-,1988,동홍중앙로 10,-,-,-,-
26,제주특별자치도 서귀포시 서홍동,305,305,0,지오빌II,84.6500,201912,28,"28,000",-,2,-,-,2011,중앙로195번길 7,-,-,-,-
27,제주특별자치도 제주시 삼양이동,2318,2318,0,제주삼화사랑으로부영3차,84.3616,201912,28,"35,550",-,10,-,-,2013,화삼로 167,-,-,-,-
28,제주특별자치도 제주시 도남동,70,70,0,수선화(70)1차,53.8900,201912,27,"11,700",-,5,-,-,1992,독짓골2길 26,-,-,-,-
