NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 서귀포시 하원동,367-1,367,1,서진,49.8737,202107,9,"8,800",-,5,-,-,2002,지세못로 29,-,-,-,-
2,제주특별자치도 제주시 일도이동,47-1,47,1,일도신천지,59.9700,202107,9,"28,000",-,3,-,-,1993,천수로 72,-,-,-,-
3,제주특별자치도 제주시 애월읍 애월리,1622,1622,0,혁승애월다움,84.8015,202107,9,"20,000",-,7,-,-,2017,애원로 11,-,-,-,-
4,제주특별자치도 서귀포시 동홍동,355-1,355,1,주공4(동홍주공4),58.8000,202107,9,"17,500",-,5,-,-,1994,태평로512번길 10,-,-,-,-
5,제주특별자치도 서귀포시 서귀동,202-21,202,21,바원에스클래스,76.9900,202107,9,"38,250",-,8,-,-,2020,명동로 45,-,-,-,-
6,제주특별자치도 서귀포시 서홍동,305-2,305,2,지오빌Ⅱ-2차,84.3708,202107,9,"32,500",-,4,-,-,2013,중앙로 189,-,-,-,-
7,제주특별자치도 제주시 도두일동,2614,2614,0,블루파크시티,21.2369,202107,9,"12,300",-,8,-,-,2018,도두항서길 41,-,-,-,-
8,제주특별자치도 제주시 도련이동,548,548,0,제주삼화사랑으로부영1차,73.9049,202107,9,"45,700",-,1,-,-,2013,화삼북로 136,-,-,-,-
9,제주특별자치도 서귀포시 성산읍 고성리,1618-1,1618,1,"진우파크빌(101,102동)",59.8944,202107,9,"7,100",-,5,-,-,2001,서성일로 1186-6,-,-,-,-
10,제주특별자치도 제주시 연동,2325-7,2325,7,연동한일씨티파크,84.9049,202107,9,"47,000",-,18,-,-,2014,도령로 103,-,-,-,-
11,제주특별자치도 제주시 아라일동,6143-8,6143,8,아라천일,113.5700,202107,9,"31,300",-,1,-,-,1992,인다14길 12,-,-,-,-
12,제주특별자치도 제주시 노형동,1283-6,1283,6,미듬리드빌원룸,36.5400,202107,9,"9,900",-,2,-,-,2001,수덕5길 13,-,-,-,-
13,제주특별자치도 서귀포시 서홍동,349-1,349,1,형남4차,84.8590,202107,8,"33,700",-,6,-,-,2015,홍중로 59,-,-,-,-
14,제주특별자치도 제주시 이도일동,1664-4,1664,4,광양미화,84.4600,202107,8,"16,500",-,4,-,-,1991,광양4길 22,-,-,-,-
15,제주특별자치도 제주시 이도이동,1036-4,1036,4,굿모닝아파트,83.4200,202107,8,"21,400",-,4,-,-,2002,고산동산3길 24,-,-,-,-
16,제주특별자치도 서귀포시 강정동,158-1,158,1,윙스스카이2차,18.6000,202107,8,"4,950",-,3,-,-,2013,신서귀로51번길 33,-,-,-,-
17,제주특별자치도 제주시 일도이동,392-8,392,8,삼오정진,156.1200,202107,8,"35,000",-,5,-,-,1993,가령골길 15,-,-,-,-
18,제주특별자치도 제주시 삼양이동,2180-16,2180,16,한양,84.6300,202107,8,"17,000",-,4,-,-,1995,지석12길 5,-,-,-,-
19,제주특별자치도 제주시 삼양이동,2333,2333,0,제주삼화사랑으로부영5차,84.3616,202107,8,"59,990",-,6,-,-,2013,화삼로 166,-,-,-,-
20,제주특별자치도 제주시 이도일동,1664-4,1664,4,광양미화,84.4600,202107,8,"16,500",-,4,-,-,1991,광양4길 22,20210826,-,-,-
21,제주특별자치도 제주시 도남동,70,70,0,수선화(70)1차,53.8900,202107,8,"17,500",-,4,-,-,1992,독짓골2길 26,-,-,-,-
22,제주특별자치도 제주시 도남동,70,70,0,수선화(70)1차,53.8900,202107,8,"17,500",-,4,-,-,1992,독짓골2길 26,20210722,-,-,-
23,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.3616,202107,7,"59,000",-,9,-,-,2013,화삼로 12,-,-,-,-
24,제주특별자치도 제주시 애월읍 하귀1리,167,167,0,제주하귀휴먼시아1단지,84.8500,202107,7,"44,500",-,10,-,-,2010,하귀9길 45,-,-,-,-
25,제주특별자치도 제주시 노형동,753-1,753,1,중흥에스클래스,84.9963,202107,7,"70,000",-,11,-,-,2003,한라대학로 107,-,-,-,-
26,제주특별자치도 제주시 연동,300-3,300,3,남해오네뜨,32.3900,202107,7,"20,900",-,9,-,-,2019,삼무로11길 9,-,-,-,-
27,제주특별자치도 제주시 건입동,666,666,0,한도맨션,78.0900,202107,7,"11,800",-,5,-,-,1991,임항로 235,-,-,-,-
28,제주특별자치도 제주시 일도이동,47,47,0,일도삼주,59.9700,202107,7,"22,450",-,1,-,-,1993,천수로8길 18,-,-,-,-
29,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,101.9984,202107,7,"59,000",-,2,-,-,2017,첨단로동길 74,-,-,-,-
30,제주특별자치도 제주시 일도이동,371,371,0,삼화,84.9600,202107,6,"21,000",-,7,-,-,1992,천수동로 2,-,-,-,-
31,제주특별자치도 제주시 아라일동,6088,6088,0,아라스위첸,84.9767,202107,6,"74,000",-,2,-,-,2012,아란9길 22,-,-,-,-
32,제주특별자치도 서귀포시 법환동,744-1,744,1,스마트블루빌,20.6550,202107,6,"7,200",-,7,-,-,2014,김정문화로41번길 14-4,-,-,-,-
33,제주특별자치도 제주시 노형동,912-2,912,2,재영샤르빌,33.7216,202107,6,"13,000",-,5,-,-,2012,원노형5길 34,-,-,-,-
34,제주특별자치도 제주시 이호이동,113-2,113,2,이호엘리시아아파트,81.8770,202107,6,"28,000",-,5,-,-,2017,대동길 10,-,-,-,-
35,제주특별자치도 제주시 연동,1964-3,1964,3,펠리체,84.7799,202107,6,"42,000",-,7,-,-,2012,도령로 73,-,-,-,-
36,제주특별자치도 제주시 연동,279-2,279,2,벽강하이본타워,32.0400,202107,6,"7,700",-,9,-,-,2003,신대로22길 40,-,-,-,-
37,제주특별자치도 서귀포시 동홍동,149-1,149,1,덕산캐슬,84.9457,202107,6,"23,000",-,7,-,-,2008,태평로 529-6,-,-,-,-
38,제주특별자치도 서귀포시 강정동,158-3,158,3,윙스스카이,15.8600,202107,5,"4,000",-,2,-,-,2012,신서귀로51번길 29,-,-,-,-
39,제주특별자치도 제주시 연동,304-5,304,5,코스모스태홍누리안5차,77.4000,202107,5,"32,500",-,3,-,-,2013,신대로 136,-,-,-,-
40,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,84.7938,202107,5,"50,800",-,3,-,-,2017,첨단로동길 74,-,-,-,-
41,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,68.9300,202107,5,"28,000",-,1,-,-,2016,중문상로82번길 15,-,-,-,-
42,제주특별자치도 제주시 용담삼동,524,524,0,용두암현대4,53.3250,202107,5,"16,700",-,5,-,-,1995,용담로1길 33,-,-,-,-
