,단지명,내용,주소,위도,경도
10,TS주상복합빌딩,"[요약]
TS주상복합빌딩아파트는 제주특별자치도 제주시 이도이동에 있으며, 최근 6개월간 17건의 거래가 있었고 평균 평당 가격은 8,911,609원입니다. 가장 최근 거래는 2024년 03월, 10.4평, 0.78억 원에 체결되었습니다. 6개월 전 대비 약 74.4% 하락했습니다.

[거래내역]
- 2024년 03월 19일 | 10.4평 | 0.8억 원
- 2024년 01월 10일 | 8.4평 | 0.7억 원
- 2023년 07월 19일 | 24.9평 | 3.0억 원
- 2021년 07월 26일 | 24.9평 | 2.9억 원
- 2021년 05월 14일 | 24.9평 | 2.5억 원
- 2021년 03월 8일 | 10.4평 | 0.9억 원
- 2021년 02월 1일 | 24.9평 | 2.0억 원
- 2019년 01월 8일 | 24.9평 | 2.0억 원
- 2018년 08월 13일 | 24.9평 | 2.5억 원
- 2017년 04월 21일 | 24.9평 | 2.5억 원
- 2017년 01월 5일 | 8.2평 | 1.0억 원
- 2016년 10월 16일 | 10.4평 | 0.9억 원
- 2016년 09월 23일 | 8.2평 | 0.7억 원
- 2016년 08월 19일 | 10.4평 | 0.9억 원
- 2016년 05월 15일 | 8.1평 | 0.6억 원
- 2016년 05월 15일 | 8.2평 | 0.6억 원
- 2016년 05월 15일 | 8.3평 | 0.6억 원",제주특별자치도 제주시 이도이동 중앙로 261-1,33.4969682572374,126.532255005941
11,e편한세상연동센트럴파크1단지,"[요약]
e편한세상연동센트럴파크1단지아파트는 제주특별자치도 제주시 연동에 있으며, 최근 6개월간 3건의 거래가 있었고 평균 평당 가격은 32,231,013원입니다. 가장 최근 거래는 2025년 03월, 25.7평, 8.0억 원에 체결되었습니다. 6개월 전 대비 약 7.0% 하락했습니다.

[거래내역]
- 2025년 03월 19일 | 25.7평 | 8.0억 원
- 2024년 08월 23일 | 25.7평 | 8.6억 원
- 2024년 08월 22일 | 25.7평 | 8.2억 원",제주특별자치도 제주시 연동 신대로14길 13,33.4874760236261,126.494975581231
12,e편한세상연동센트럴파크2단지,"[요약]
e편한세상연동센트럴파크2단지아파트는 제주특별자치도 제주시 연동에 있으며, 최근 6개월간 1건의 거래가 있었고 평균 평당 가격은 32,613,483원입니다. 가장 최근 거래는 2024년 06월, 25.7평, 8.38억 원에 체결되었습니다. 최근 6개월간의 거래 내역이 없습니다.

[거래내역]
- 2024년 06월 5일 | 25.7평 | 8.4억 원",제주특별자치도 제주시 연동 신대로14길 14,33.4879535890582,126.494995728078
13,e편한세상중문,"[요약]
e편한세상중문아파트는 제주특별자치도 서귀포시 중문동에 있으며, 최근 6개월간 57건의 거래가 있었고 평균 평당 가격은 18,475,973원입니다. 가장 최근 거래는 2025년 07월, 25.7평, 4.5억 원에 체결되었습니다. 6개월 전 대비 약 1.2% 하락했습니다.

[거래내역]
- 2025년 07월 1일 | 25.7평 | 4.5억 원
- 2025년 05월 1일 | 23.9평 | 4.0억 원
- 2025년 04월 28일 | 23.9평 | 4.0억 원
- 2025년 04월 14일 | 23.9평 | 3.9억 원
- 2025년 04월 4일 | 25.7평 | 4.4억 원
- 2025년 04월 2일 | 23.9평 | 4.0억 원
- 2025년 03월 29일 | 23.9평 | 4.0억 원
- 2025년 03월 27일 | 25.7평 | 4.8억 원
- 2025년 03월 6일 | 25.7평 | 4.5억 원
- 2025년 02월 9일 | 23.9평 | 3.8억 원
- 2024년 11월 5일 | 25.7평 | 4.6억 원
- 2024년 10월 25일 | 23.9평 | 4.1억 원
- 2024년 10월 23일 | 25.7평 | 5.0억 원
- 2024년 09월 30일 | 23.9평 | 4.1억 원
- 2024년 09월 20일 | 25.7평 | 4.7억 원
- 2024년 09월 20일 | 25.7평 | 4.5억 원
- 2024년 07월 11일 | 23.9평 | 3.9억 원
- 2024년 06월 11일 | 25.7평 | 4.8억 원
- 2024년 06월 11일 | 25.7평 | 4.8억 원
- 2024년 06월 11일 | 25.7평 | 4.7억 원",제주특별자치도 서귀포시 중문동 일주서로731번길 10,33.2547130720881,126.430077781846
14,가가리드빌,"[요약]
가가리드빌아파트는 제주특별자치도 제주시 외도일동에 있으며, 최근 6개월간 6건의 거래가 있었고 평균 평당 가격은 7,995,270원입니다. 가장 최근 거래는 2020년 07월, 33.1평, 2.54억 원에 체결되었습니다. 6개월 전 대비 약 2.4% 상승했습니다.

[거래내역]
- 2020년 07월 23일 | 33.1평 | 2.5억 원
- 2017년 09월 28일 | 33.1평 | 2.5억 원
- 2017년 06월 16일 | 25.0평 | 2.0억 원
- 2016년 12월 8일 | 33.1평 | 2.5억 원
- 2016년 09월 20일 | 25.0평 | 2.1억 원
- 2016년 02월 18일 | 25.1평 | 2.3억 원",제주특별자치도 제주시 외도일동 우정로4길 4-8,33.4921883486357,126.430407082516
15,가나,"[요약]
가나아파트는 제주특별자치도 제주시 용담이동에 있으며, 최근 6개월간 4건의 거래가 있었고 평균 평당 가격은 5,549,138원입니다. 가장 최근 거래는 2023년 08월, 25.3평, 1.4억 원에 체결되었습니다. 6개월 전 대비 약 7.7% 상승했습니다.

[거래내역]
- 2023년 08월 2일 | 25.3평 | 1.4억 원
- 2021년 06월 21일 | 25.3평 | 1.3억 원
- 2021년 06월 21일 | 25.3평 | 1.3억 원
- 2017년 01월 16일 | 25.3평 | 1.6억 원",제주특별자치도 제주시 용담이동 성화로1길 33,33.5126444874808,126.503208551345
16,가나노블휘닉스,"[요약]
가나노블휘닉스아파트는 제주특별자치도 서귀포시 동홍동에 있으며, 최근 6개월간 25건의 거래가 있었고 평균 평당 가격은 9,819,105원입니다. 가장 최근 거래는 2025년 03월, 25.2평, 2.48억 원에 체결되었습니다. 6개월 전 대비 약 3.9% 하락했습니다.

[거래내역]
- 2025년 03월 10일 | 25.2평 | 2.5억 원
- 2025년 01월 3일 | 25.2평 | 2.6억 원
- 2024년 08월 11일 | 25.2평 | 2.6억 원
- 2024년 05월 30일 | 25.2평 | 2.4억 원
- 2024년 03월 30일 | 25.2평 | 2.5억 원
- 2024년 03월 6일 | 25.2평 | 2.6억 원
- 2024년 01월 15일 | 25.2평 | 2.4억 원
- 2023년 08월 11일 | 25.2평 | 2.5억 원
- 2023년 05월 15일 | 25.2평 | 2.5억 원
- 2022년 10월 6일 | 25.2평 | 2.6억 원
- 2022년 02월 8일 | 25.2평 | 2.5억 원
- 2022년 01월 28일 | 25.2평 | 2.4억 원
- 2021년 05월 25일 | 25.2평 | 2.1억 원
- 2021년 03월 11일 | 25.2평 | 2.4억 원
- 2020년 12월 17일 | 25.2평 | 2.5억 원
- 2020년 10월 15일 | 25.2평 | 2.4억 원
- 2020년 05월 29일 | 25.2평 | 2.7억 원
- 2020년 03월 14일 | 25.2평 | 2.4억 원
- 2019년 11월 28일 | 25.2평 | 2.2억 원
- 2019년 03월 25일 | 25.2평 | 2.3억 원",제주특별자치도 서귀포시 동홍동 태평로 505,33.2503361869915,126.571403032281
17,가나타운,"[요약]
가나타운아파트는 제주특별자치도 제주시 연동에 있으며, 최근 6개월간 14건의 거래가 있었고 평균 평당 가격은 11,941,435원입니다. 가장 최근 거래는 2025년 03월, 14.6평, 1.5억 원에 체결되었습니다. 6개월 전 대비 약 177.8% 상승했습니다.

[거래내역]
- 2025년 03월 11일 | 14.6평 | 1.5억 원
- 2025년 01월 31일 | 14.5평 | 1.4억 원
- 2025년 01월 31일 | 14.5평 | 1.4억 원
- 2024년 09월 23일 | 6.4평 | 0.5억 원
- 2024년 07월 16일 | 12.0평 | 1.5억 원
- 2024년 03월 26일 | 14.6평 | 1.6억 원
- 2022년 06월 25일 | 14.6평 | 1.7억 원
- 2021년 01월 26일 | 14.6평 | 1.7억 원
- 2020년 05월 26일 | 9.3평 | 1.0억 원
- 2020년 01월 3일 | 5.8평 | 0.7억 원
- 2019년 08월 8일 | 9.3평 | 1.0억 원
- 2016년 04월 1일 | 6.4평 | 1.2억 원
- 2016년 03월 12일 | 5.8평 | 1.0억 원
- 2016년 01월 13일 | 6.4평 | 0.9억 원",제주특별자치도 제주시 연동 은남4길 17,33.4861847671918,126.493805418182
18,가나휘닉스,"[요약]
가나휘닉스아파트는 제주특별자치도 서귀포시 동홍동에 있으며, 최근 6개월간 5건의 거래가 있었고 평균 평당 가격은 11,298,438원입니다. 가장 최근 거래는 2024년 11월, 25.7평, 3.0억 원에 체결되었습니다. 6개월 전 대비 약 9.1% 상승했습니다.

[거래내역]
- 2024년 11월 6일 | 25.7평 | 3.0억 원
- 2024년 09월 20일 | 25.7평 | 2.9억 원
- 2024년 01월 8일 | 25.7평 | 2.8억 원
- 2022년 07월 18일 | 25.7평 | 3.4억 원
- 2018년 02월 2일 | 25.7평 | 2.5억 원",제주특별자치도 서귀포시 동홍동 동홍동로31번길 15,33.2574836204253,126.57319477863
19,가나휘닉스Ⅱ,"[요약]
가나휘닉스Ⅱ아파트는 제주특별자치도 제주시 연동에 있으며, 최근 6개월간 13건의 거래가 있었고 평균 평당 가격은 11,644,876원입니다. 가장 최근 거래는 2025년 05월, 25.6평, 2.8억 원에 체결되었습니다. 6개월 전 대비 약 8.2% 하락했습니다.

[거래내역]
- 2025년 05월 27일 | 25.6평 | 2.8억 원
- 2023년 12월 18일 | 25.7평 | 3.0억 원
- 2023년 07월 3일 | 25.7평 | 3.5억 원
- 2023년 06월 14일 | 25.7평 | 3.0억 원
- 2021년 07월 5일 | 25.7평 | 3.4억 원
- 2021년 06월 17일 | 25.7평 | 3.1억 원
- 2021년 06월 1일 | 23.6평 | 2.6억 원
- 2021년 04월 12일 | 25.7평 | 3.1억 원
- 2021년 04월 12일 | 25.7평 | 3.1억 원
- 2020년 04월 3일 | 25.6평 | 2.6억 원
- 2017년 12월 15일 | 23.6평 | 2.5억 원
- 2016년 10월 31일 | 23.6평 | 2.5억 원
- 2016년 08월 16일 | 25.7평 | 3.0억 원",제주특별자치도 제주시 연동 연동4길 16-2,33.4844673376038,126.487556463844
