전용면적(㎡),계약년월,계약일,건축년도,거래금액,계약년도,계약월,시,읍면동
29.16,2016-10,24,1992,48000000,2016,10,제주시,연동
44.0,2016-10,24,1992,50000000,2016,10,서귀포시,서귀동
84.02,2016-10,23,2015,248000000,2016,10,제주시,오라이동
84.86,2016-10,22,2015,356000000,2016,10,제주시,연동
31.78,2016-10,21,2016,126330000,2016,10,제주시,연동
83.2,2016-10,21,2013,239000000,2016,10,제주시,노형동
30.0,2016-10,21,1991,78000000,2016,10,제주시,노형동
84.37,2016-10,20,2013,330000000,2016,10,제주시,노형동
84.92,2016-10,19,2013,186390000,2016,10,제주시,연동
82.59,2016-10,18,2016,260100000,2016,10,제주시,노형동
84.9,2016-10,17,2012,327500000,2016,10,제주시,노형동
25.025,2016-10,17,1994,30000000,2016,10,서귀포시,서귀동
39.89,2016-10,15,2016,125000000,2016,10,제주시,외도일동
20.14,2016-10,14,2004,84000000,2016,10,제주시,노형동
37.0,2016-10,14,2003,125000000,2016,10,제주시,노형동
36.94,2016-10,14,2003,119000000,2016,10,제주시,노형동
20.14,2016-10,14,2004,84000000,2016,10,제주시,노형동
25.025,2016-10,13,1994,45000000,2016,10,서귀포시,서귀동
32.0,2016-10,13,1992,30000000,2016,10,서귀포시,서귀동
31.78,2016-10,13,2016,141000000,2016,10,제주시,연동
55.07,2016-10,13,2013,130000000,2016,10,서귀포시,동홍동
26.46,2016-10,12,2014,115000000,2016,10,제주시,도련일동
83.87,2016-10,11,2016,270170000,2016,10,제주시,노형동
20.14,2016-10,11,2004,85000000,2016,10,제주시,노형동
20.14,2016-10,11,2004,85000000,2016,10,제주시,노형동
20.14,2016-10,10,2004,90000000,2016,10,제주시,노형동
32.76,2016-10,7,1991,82000000,2016,10,제주시,노형동
81.02,2016-10,7,2014,288000000,2016,10,제주시,노형동
21.75,2016-10,6,2011,95500000,2016,10,제주시,연동
108.33,2016-10,6,2011,220000000,2016,10,제주시,이도이동
62.4,2016-10,5,2015,208000000,2016,10,제주시,연동
80.0,2016-10,5,2015,197590000,2016,10,서귀포시,동홍동
38.57,2016-10,4,1991,90000000,2016,10,제주시,노형동
