NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 서귀포시 대정읍 보성리,2476-10,2476,10,남영에듀클래스,24.8900,201712,30,"11,500",3,-,-,2017, ,-,-,-
2,제주특별자치도 제주시 노형동,711-2,711,2,이레하이텔,36.9400,201712,29,"9,650",6,-,-,2003,연북로 12,-,-,-
3,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,40.2800,201712,29,"11,700",9,-,-,2004,연북로 41,-,-,-
4,제주특별자치도 제주시 노형동,711-2,711,2,이레하이텔,35.2000,201712,29,"9,500",6,-,-,2003,연북로 12,-,-,-
5,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),32.7600,201712,28,"6,300",7,-,-,1991,도령로 40,-,-,-
6,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),32.7600,201712,28,"6,300",9,-,-,1991,도령로 40,-,-,-
7,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",12,-,-,1991,도령로 40,-,-,-
8,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),32.7600,201712,28,"6,300",3,-,-,1991,도령로 40,-,-,-
9,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),32.7600,201712,28,"6,300",6,-,-,1991,도령로 40,-,-,-
10,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",3,-,-,1991,도령로 40,-,-,-
11,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",4,-,-,1991,도령로 40,-,-,-
12,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",4,-,-,1991,도령로 40,-,-,-
13,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",4,-,-,1991,도령로 40,-,-,-
14,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",3,-,-,1991,도령로 40,-,-,-
15,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),32.7600,201712,28,"6,300",8,-,-,1991,도령로 40,-,-,-
16,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",4,-,-,1991,도령로 40,-,-,-
17,제주특별자치도 제주시 외도일동,450-12,450,12,외도 이안애,80.4204,201712,28,"25,000",7,-,-,2017,우정로3길 12,-,-,-
18,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",4,-,-,1991,도령로 40,-,-,-
19,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,28,"6,300",4,-,-,1991,도령로 40,-,-,-
20,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,201712,27,"6,700",9,-,-,1991,도령로 40,-,-,-
21,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,32.0000,201712,27,"2,800",10,-,-,1992,중정로 123,-,-,-
22,제주특별자치도 제주시 외도일동,449-8,449,8,외도 바움채,77.1106,201712,27,"25,000",6,-,-,2017,절물1길 22,-,-,-
23,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,28.0000,201712,26,"1,900",5,-,-,1992,중정로 123,-,-,-
24,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,201712,26,"7,450",6,-,-,2004,연북로 45,-,-,-
25,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,201712,26,"6,400",4,-,-,2004,연북로 45,-,-,-
26,제주특별자치도 제주시 연동,1373-1,1373,1,아일랜드마이빌,27.3800,201712,26,"7,000",2,-,-,2004,신대로22길 25,-,-,-
27,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,201712,26,"27,000",4,-,-,2013,신광로 19,-,-,-
28,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.9200,201712,26,"27,000",4,-,-,2013,신광로 19,-,-,-
29,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.9200,201712,26,"27,000",5,-,-,2013,신광로 19,-,-,-
30,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,201712,26,"27,000",5,-,-,2013,신광로 19,-,-,-
31,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,201712,26,"27,000",6,-,-,2013,신광로 19,-,-,-
32,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,201712,26,"27,000",6,-,-,2013,신광로 19,-,-,-
33,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,201712,26,"27,000",9,-,-,2013,신광로 19,-,-,-
34,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,201712,26,"27,000",11,-,-,2013,신광로 19,-,-,-
35,제주특별자치도 제주시 노형동,906-1,906,1,이화오피스텔,52.7100,201712,22,"14,000",8,-,-,1991,도령로 50,-,-,-
36,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,201712,22,"27,000",3,-,-,2013,신광로 19,-,-,-
37,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,201712,22,"27,000",4,-,-,2013,신광로 19,-,-,-
38,제주특별자치도 제주시 노형동,711-2,711,2,이레하이텔,36.3200,201712,21,"10,000",8,-,-,2003,연북로 12,-,-,-
39,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.1400,201712,21,"7,500",7,-,-,2004,연북로 41,-,-,-
40,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,201712,21,"8,050",13,-,-,2004,연북로 45,-,-,-
41,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.9200,201712,21,"27,000",3,-,-,2013,신광로 19,-,-,-
42,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,72.0000,201712,20,"4,900",10,-,-,1992,중정로 123,-,-,-
43,제주특별자치도 서귀포시 동홍동,1221,1221,0,동홍 스카이빌,78.8100,201712,19,"20,500",3,-,-,2017,동홍중앙로 153,-,-,-
44,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0000,201712,18,"6,700",2,-,-,1991,도령로 54,-,-,-
