NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 제주시 노형동,711-2,711,2,이레하이텔,35.2000,202312,30,"9,540",9,-,-,2003,연북로 12,-,중개거래,제주 제주시
2,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,202312,29,"6,000",9,-,-,1991,도령로 40,-,직거래,-
3,제주특별자치도 제주시 연동,274-64,274,64,디오션시티2차,24.0500,202312,28,"9,000",12,-,-,2018,연동10길 16,-,중개거래,제주 제주시
4,제주특별자치도 제주시 노형동,721-2,721,2,노형 이타스Ⅲ,82.5900,202312,28,"29,700",4,-,-,2016,과원북4길 17,-,직거래,-
5,제주특별자치도 서귀포시 대포동,810,810,0,더바른오피스텔,61.9590,202312,27,"22,000",3,-,-,2017, ,-,직거래,-
6,제주특별자치도 서귀포시 대포동,810,810,0,더바른오피스텔,61.9590,202312,27,"22,000",2,-,-,2017, ,-,직거래,-
7,제주특별자치도 서귀포시 대포동,810,810,0,더바른오피스텔,61.9590,202312,27,"22,000",2,-,-,2017, ,-,직거래,-
8,제주특별자치도 서귀포시 대포동,810-2,810,2,더바른오피스텔,61.9590,202312,27,"22,000",4,-,-,2017,대포복개로 95,-,직거래,-
9,제주특별자치도 서귀포시 대포동,810-2,810,2,더바른오피스텔,61.9590,202312,27,"22,000",3,-,-,2017,대포복개로 95,-,직거래,-
10,제주특별자치도 서귀포시 대포동,810-2,810,2,더바른오피스텔,61.9590,202312,27,"22,000",2,-,-,2017,대포복개로 95,-,직거래,-
11,제주특별자치도 제주시 외도일동,637-6,637,6,(637-6),84.9515,202312,27,"28,000",3,-,-,2019,우령2길 44,-,중개거래,제주 제주시
12,제주특별자치도 제주시 연동,271-36,271,36,메종프라임연동,26.3200,202312,26,"13,050",5,-,-,2018,삼무로 41,-,직거래,-
13,제주특별자치도 제주시 연동,271-36,271,36,메종프라임연동,26.3200,202312,26,"12,880",3,-,-,2018,삼무로 41,-,직거래,-
14,제주특별자치도 제주시 연동,2331-10,2331,10,연동해든빌,80.0725,202312,25,"34,000",4,-,-,2019,도령로13길 2,-,직거래,-
15,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.7600,202312,20,"22,000",2,-,-,2013,신광로 19,-,직거래,-
16,제주특별자치도 제주시 노형동,725-4,725,4,녹색도시,82.5400,202312,19,"22,000",6,-,-,2015, ,-,직거래,-
17,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0000,202312,19,"5,900",7,-,-,1991,도령로 54,-,직거래,-
18,제주특별자치도 제주시 연동,290-63,290,63,해피프라임,41.8500,202312,19,"24,803",5,-,-,2022,삼무로9길 8,-,직거래,-
19,제주특별자치도 제주시 한림읍 수원리,763,763,0,갤럭시 한수풀랜드,84.6000,202312,19,"19,000",4,-,-,2016,한림로 785,-,중개거래,제주 제주시
20,제주특별자치도 제주시 연동,272-33,272,33,로얄쇼핑센타및오피스텔,49.5000,202312,19,"6,520",5,-,-,1992,신대로12길 51,-,직거래,-
21,제주특별자치도 제주시 연동,272-33,272,33,로얄쇼핑센타및오피스텔,49.5000,202312,19,"6,520",5,-,-,1992,신대로12길 51,-,직거래,-
22,제주특별자치도 서귀포시 표선면 표선리,558-1,558,1,아정펠리즈,71.4400,202312,15,"23,000",7,-,-,2017, ,-,직거래,-
23,제주특별자치도 제주시 연동,274-37,274,37,디오션시티1차,25.4470,202312,15,"7,100",9,-,-,2018,신대로18길 47,-,중개거래,제주 제주시
24,제주특별자치도 제주시 삼도이동,913-5,913,5,진아타워,29.6800,202312,15,"7,200",6,-,-,2005,관덕로2길 17,-,중개거래,제주 제주시
25,제주특별자치도 제주시 노형동,924-1,924,1,이편한세상 시티 노형,41.0237,202312,14,"19,656",3,-,-,2019,원노형남1길 11,-,직거래,-
26,제주특별자치도 제주시 노형동,924-1,924,1,이편한세상 시티 노형,64.5957,202312,14,"30,794",10,-,-,2019,원노형남1길 11,-,직거래,-
27,제주특별자치도 제주시 노형동,924-1,924,1,이편한세상 시티 노형,41.0237,202312,14,"19,656",6,-,-,2019,원노형남1길 11,-,직거래,-
28,제주특별자치도 제주시 노형동,924-1,924,1,이편한세상 시티 노형,41.0237,202312,14,"20,013",12,-,-,2019,원노형남1길 11,-,직거래,-
29,제주특별자치도 제주시 도두일동,2627-5,2627,5,(2627-5),31.5288,202312,13,"13,000",2,-,-,2017,도공로 9-10,-,중개거래,제주 제주시
30,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,35.1000,202312,12,"10,700",10,-,-,2014,건주로4길 6-4,-,중개거래,제주 제주시
31,제주특별자치도 서귀포시 서귀동,494,494,0,오션팰리스,55.0800,202312,12,"9,500",11,-,-,2012,중앙로 14,-,직거래,-
32,제주특별자치도 서귀포시 대정읍 보성리,2476-13,2476,13,제주 이노에듀타운,25.7420,202312,11,"9,900",2,-,-,2016,글로벌에듀로 382,-,중개거래,제주 서귀포시
33,제주특별자치도 제주시 외도일동,445-2,445,2,남건휴먼스4차,43.4400,202312,11,"10,300",4,-,-,2015, ,-,중개거래,제주 제주시
34,제주특별자치도 제주시 연동,308-6,308,6,아델하임,84.8500,202312,8,"17,000",2,-,-,2012,신대로 161,-,직거래,-
35,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,18.6600,202312,8,"3,800",8,-,-,2004,연북로 41,-,중개거래,제주 제주시
36,제주특별자치도 서귀포시 동홍동,509-3,509,3,리움 오피스텔,23.0200,202312,8,"9,530",8,-,-,2020,동홍로 102,-,직거래,-
37,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.1400,202312,7,"4,950",9,-,-,2004,연북로 41,-,중개거래,제주 제주시
38,제주특별자치도 제주시 삼도이동,300-1,300,1,진용이지빌,84.9500,202312,6,"21,000",6,-,-,2015, ,-,직거래,-
39,제주특별자치도 서귀포시 남원읍 위미리,4171-3,4171,3,위미 캐슬 휘닉스,84.9000,202312,6,"23,000",2,-,-,2018, ,-,직거래,-
40,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202312,5,"5,500",6,-,-,2004,연북로 45,-,중개거래,제주 제주시
41,제주특별자치도 제주시 삼양이동,2174-17,2174,17,청담휴클래스,53.5651,202312,4,"20,500",10,-,-,2016, ,-,중개거래,제주 제주시
42,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,26.4600,202312,4,"7,500",9,-,-,2014,건주로4길 6-4,-,중개거래,제주 제주시
43,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,35.1000,202312,3,"11,500",9,-,-,2014,건주로4길 6-4,-,직거래,-
