NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 제주시 삼도이동,14-3,14,3,로이빌,82.1400,202412,31,"23,410",5,개인,개인,2016, ,-,중개거래,제주 제주시
2,제주특별자치도 제주시 이도이동,1169-2,1169,2,제이하임 레지던스,35.9800,202412,30,"11,000",3,개인,개인,2018,동광로8길 3,-,직거래,-
3,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202412,29,"5,650",14,개인,개인,2004,연북로 45,-,중개거래,제주 제주시
4,제주특별자치도 서귀포시 표선면 표선리,845,845,0,해비치빌오피스텔,84.9800,202412,27,"20,000",6,개인,개인,2014,표선중앙로110번길 5,-,직거래,-
5,제주특별자치도 제주시 노형동,924-1,924,1,이편한세상 시티 노형,41.0237,202412,27,"23,000",14,개인,개인,2019,원노형남1길 11,-,중개거래,제주 제주시
6,제주특별자치도 제주시 노형동,721-2,721,2,노형 이타스Ⅲ,83.6600,202412,26,"25,000",5,개인,개인,2016,과원북4길 17,-,직거래,-
7,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202412,26,"5,500",4,개인,개인,2004,연북로 45,-,직거래,-
8,제주특별자치도 제주시 삼도이동,602-1,602,1,아이린아파트 5차,79.4800,202412,23,"30,000",6,개인,법인,2018,전농로9길 27,-,직거래,-
9,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,202412,23,"4,850",3,개인,개인,2004,연북로 45,-,중개거래,제주 제주시
10,제주특별자치도 제주시 연동,278,278,0,연동 풀하우스,21.7500,202412,23,"4,000",7,개인,개인,2011,연동8길 29,-,직거래,-
11,제주특별자치도 제주시 노형동,710-2,710,2,에코에비뉴,35.1400,202412,20,"13,800",7,개인,개인,2017,연북로 21,-,중개거래,제주 서귀포시
12,제주특별자치도 서귀포시 중문동,2180,2180,0,더웰 테라스,20.6900,202412,20,"6,450",6,개인,법인,2019,천제연로 144,-,중개거래,제주 서귀포시
13,제주특별자치도 서귀포시 법환동,745-7,745,7,JS라메르1차,25.2600,202412,19,"6,300",10,개인,개인,2018,김정문화로 47,-,중개거래,제주 서귀포시
14,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,33.6000,202412,19,"7,000",11,개인,개인,1990,도령로 87,-,중개거래,제주 제주시
15,제주특별자치도 제주시 삼도일동,561-3,561,3,에스디빌,62.7500,202412,18,"24,250",8,개인,개인,2018,서광로 196,-,중개거래,제주 제주시
16,제주특별자치도 서귀포시 법환동,745-7,745,7,JS라메르1차,24.8400,202412,18,"7,500",7,개인,개인,2018,김정문화로 47,-,중개거래,제주 서귀포시
17,제주특별자치도 제주시 연동,292-42,292,42,노바빌리지,77.0923,202412,18,"29,000",9,법인,법인,2018,신대로12길 10,-,직거래,-
18,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,24.5700,202412,18,"6,800",5,개인,개인,2014,건주로4길 6-4,-,중개거래,제주 제주시
19,제주특별자치도 제주시 애월읍 애월리,1643,1643,0,리나 더 하우스,57.9900,202412,16,"12,150",2,개인,개인,2019,애월로14길 6,-,중개거래,제주 제주시
20,제주특별자치도 제주시 일도이동,602-1,602,1,제주 신항 코아루 디펠리체,50.0363,202412,16,"21,000",2,개인,법인,2019,고마로 16,-,직거래,-
21,제주특별자치도 제주시 일도이동,602-1,602,1,제주 신항 코아루 디펠리체,24.8621,202412,16,"11,300",2,개인,법인,2019,고마로 16,-,직거래,-
22,제주특별자치도 제주시 일도이동,602-1,602,1,제주 신항 코아루 디펠리체,24.8529,202412,16,"11,300",8,개인,법인,2019,고마로 16,-,직거래,-
23,제주특별자치도 제주시 노형동,905-3,905,3,(905-3),36.8550,202412,16,"6,300",4,개인,개인,1991,도령로 40,-,직거래,-
24,제주특별자치도 제주시 도남동,81,81,0,도남그랑팰리스,114.9000,202412,15,"45,000",3,개인,법인,2024,신성로10길 40,-,직거래,-
25,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,32.0000,202412,13,"6,000",10,법인,개인,1992,중정로 123,-,중개거래,제주 서귀포시
26,제주특별자치도 제주시 노형동,924-1,924,1,이편한세상 시티 노형,32.7698,202412,13,"16,500",15,개인,법인,2019,원노형남1길 11,-,직거래,-
27,제주특별자치도 서귀포시 표선면 표선리,666,666,0,라온제나오피스텔,70.2200,202412,12,"19,100",6,개인,개인,2019, ,-,직거래,-
28,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,43.2900,202412,11,"12,900",7,법인,법인,2014,건주로4길 6-4,-,중개거래,제주 제주시
29,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,43.2900,202412,11,"12,900",7,법인,법인,2014,건주로4길 6-4,20241212,중개거래,제주 제주시
30,제주특별자치도 제주시 연동,271-36,271,36,메종프라임연동,26.2700,202412,11,"10,000",18,개인,개인,2018,삼무로 41,-,직거래,-
31,제주특별자치도 제주시 연동,271-36,271,36,메종프라임연동,26.3200,202412,11,"10,000",5,개인,개인,2018,삼무로 41,-,직거래,-
32,제주특별자치도 제주시 이도이동,1011,1011,0,메종프라임,26.8300,202412,10,"9,300",8,개인,개인,2017,중앙로 262,-,중개거래,제주 제주시
33,제주특별자치도 서귀포시 대정읍 보성리,2476-10,2476,10,남영에듀클래스,24.8900,202412,10,"11,000",2,개인,개인,2017, ,-,직거래,-
34,제주특별자치도 제주시 이호이동,1095,1095,0,이호재영샤르빌아파트13차,84.7900,202412,10,"26,300",2,개인,개인,2018,오도11길 19-1,-,중개거래,제주 제주시
35,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,43.2900,202412,10,"12,900",7,법인,법인,2014,건주로4길 6-4,20241211,중개거래,제주 제주시
36,제주특별자치도 제주시 도남동,81,81,0,도남그랑팰리스,113.5500,202412,9,"50,000",4,개인,법인,2024,신성로10길 40,-,직거래,-
