NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 제주시 삼양이동,2174-17,2174,0017,청담휴클래스,59.4757,201612,30,"19,462",3,-,-,2016, ,-,-,-
2,제주특별자치도 제주시 삼양이동,2174-17,2174,0017,청담휴클래스,53.5651,201612,30,"14,326",8,-,-,2016, ,-,-,-
3,제주특별자치도 제주시 삼양이동,2174-17,2174,0017,청담휴클래스,59.4757,201612,30,"20,736",6,-,-,2016, ,-,-,-
4,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,30,"19,077",8,-,-,2016, ,-,-,-
5,제주특별자치도 제주시 삼양이동,2174-17,2174,0017,청담휴클래스,69.0045,201612,30,"25,130",6,-,-,2016, ,-,-,-
6,제주특별자치도 서귀포시 서귀동,251-1,0251,0001,선경오피스텔,54.0000,201612,30,"3,400",7,-,-,1992,중정로 123,-,-,-
7,제주특별자치도 제주시 삼양이동,2174-17,2174,0017,청담휴클래스,59.4757,201612,30,"21,736",7,-,-,2016, ,-,-,-
8,제주특별자치도 제주시 삼양이동,2174-17,2174,0017,청담휴클래스,74.7804,201612,29,"23,694",2,-,-,2016, ,-,-,-
9,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,29,"18,156",3,-,-,2016, ,-,-,-
10,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,29,"20,320",3,-,-,2016, ,-,-,-
11,제주특별자치도 제주시 삼양이동,2174-17,2174,0017,청담휴클래스,74.7804,201612,29,"18,421",4,-,-,2016, ,-,-,-
12,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,28,"20,688",5,-,-,2016, ,-,-,-
13,제주특별자치도 제주시 외도일동,537-2,0537,0002,남건휴먼스 5차,43.8900,201612,28,"12,500",4,-,-,2015,우령서로 67,-,-,-
14,제주특별자치도 제주시 노형동,721-2,0721,0002,노형 이타스Ⅲ,83.6600,201612,27,"30,000",11,-,-,2016,과원북4길 17,-,-,-
15,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7500,201612,26,"18,524",5,-,-,2016, ,-,-,-
16,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"20,320",3,-,-,2016, ,-,-,-
17,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"19,077",8,-,-,2016, ,-,-,-
18,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"20,688",5,-,-,2016, ,-,-,-
19,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.6500,201612,26,"20,873",6,-,-,2016, ,-,-,-
20,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7500,201612,26,"18,340",4,-,-,2016, ,-,-,-
21,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"18,156",3,-,-,2016, ,-,-,-
22,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"18,340",4,-,-,2016, ,-,-,-
23,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"20,873",6,-,-,2016, ,-,-,-
24,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"20,504",4,-,-,2016, ,-,-,-
25,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"21,057",7,-,-,2016, ,-,-,-
26,제주특별자치도 제주시 노형동,3781,3781,0000,한빛지비조아,46.7700,201612,26,"20,873",6,-,-,2016, ,-,-,-
27,제주특별자치도 서귀포시 서귀동,251-1,0251,0001,선경오피스텔,32.0000,201612,22,"3,500",10,-,-,1992,중정로 123,-,-,-
28,제주특별자치도 제주시 노형동,906-1,0906,0001,이화오피스텔,26.3550,201612,21,"7,000",3,-,-,1991,도령로 50,-,-,-
29,제주특별자치도 제주시 노형동,905-3,0905,0003,(905-3),36.8550,201612,21,"9,500",10,-,-,1991,도령로 40,-,-,-
30,제주특별자치도 제주시 노형동,905-3,0905,0003,(905-3),36.8550,201612,21,"13,000",10,-,-,1991,도령로 40,-,-,-
31,제주특별자치도 제주시 연동,303-46,0303,0046,태림 수앤수,58.6800,201612,21,"19,000",5,-,-,2015,문송길 40,-,-,-
32,제주특별자치도 제주시 연동,278,0278,0000,연동 풀하우스,21.7500,201612,21,"8,800",4,-,-,2011,연동8길 29,-,-,-
33,제주특별자치도 제주시 노형동,1294-4,1294,0004,노형 에코하임,84.9700,201612,20,"31,700",17,-,-,2012,도령로 37,-,-,-
34,제주특별자치도 서귀포시 서귀동,251-1,0251,0001,선경오피스텔,48.0000,201612,19,"2,430",7,-,-,1992,중정로 123,-,-,-
35,제주특별자치도 서귀포시 대정읍 보성리,2476-13,2476,0013,제주 이노에듀타운,25.7420,201612,16,"11,263",2,-,-,2016,글로벌에듀로 382,-,-,-
36,제주특별자치도 제주시 노형동,711,0711,0000,에이스텔,30.5100,201612,16,"12,500",5,-,-,2003,연북로 8,-,-,-
37,제주특별자치도 서귀포시 서귀동,544-2,0544,0002,디 아일랜드 블루 호텔,56.9300,201612,15,"26,000",5,-,-,2013,태평로431번길 7,-,-,-
38,제주특별자치도 서귀포시 호근동,2012,2012,0000,하르빌호근,74.6200,201612,13,"22,900",5,-,-,2016,중산간동로 8327,-,-,-
39,제주특별자치도 제주시 삼도일동,530-5,0530,0005,제동 해피죤 오피스텔,39.0400,201612,12,"9,500",5,-,-,2004,서사로 94,-,-,-
40,제주특별자치도 제주시 노형동,722-2,0722,0002,메르헨하우스3,20.1400,201612,12,"9,000",15,-,-,2004,연북로 41,-,-,-
41,제주특별자치도 서귀포시 서귀동,163-11,0163,0011,남양오피스텔,41.0600,201612,12,"4,000",9,-,-,1994,태평로 438,-,-,-
42,제주특별자치도 서귀포시 동홍동,393-3,0393,0003,지예타워 V,80.0000,201612,12,"18,818",4,-,-,2015,태평로 483,-,-,-
43,제주특별자치도 제주시 삼도일동,530-5,0530,0005,제동 해피죤 오피스텔,39.0400,201612,12,"9,500",3,-,-,2004,서사로 94,-,-,-
44,제주특별자치도 서귀포시 호근동,2012,2012,0000,하르빌호근,74.1100,201612,11,"20,298",4,-,-,2016,중산간동로 8327,-,-,-
45,제주특별자치도 제주시 노형동,905-3,0905,0003,(905-3),36.8550,201612,09,"8,000",8,-,-,1991,도령로 40,-,-,-
46,제주특별자치도 제주시 노형동,906-5,0906,0005,한신코아오피스텔,30.0000,201612,08,"7,500",8,-,-,1991,도령로 54,-,-,-
47,제주특별자치도 제주시 연동,2324-5,2324,0005,제주현대오피스텔,33.6000,201612,08,"9,600",12,-,-,1990,도령로 87,-,-,-
48,제주특별자치도 제주시 연동,2324-5,2324,0005,제주현대오피스텔,33.6000,201612,08,"7,300",9,-,-,1990,도령로 87,-,-,-
49,제주특별자치도 제주시 연동,304-19,0304,0019,월드룸,31.5000,201612,07,"4,000",5,-,-,2001,비월길 2,-,-,-
50,제주특별자치도 제주시 연동,304-19,0304,0019,월드룸,31.5000,201612,07,"4,000",4,-,-,2001,비월길 2,-,-,-
51,제주특별자치도 서귀포시 호근동,2012,2012,0000,하르빌호근,74.0300,201612,07,"23,000",4,-,-,2016,중산간동로 8327,-,-,-
52,제주특별자치도 서귀포시 법환동,1196-12,1196,0012,루체클래식,84.7000,201612,07,"29,300",5,-,-,2016,법환로 51,-,-,-
53,제주특별자치도 제주시 노형동,905-3,0905,0003,(905-3),36.8550,201612,05,"12,000",8,-,-,1991,도령로 40,-,-,-
54,제주특별자치도 제주시 삼도일동,530-5,0530,0005,제동 해피죤 오피스텔,40.5400,201612,01,"9,300",4,-,-,2004,서사로 94,-,-,-
