NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 제주시 연동,1494,1494,0,신제주 연동 트리플시티,83.8633,202507,8,"54,964",7,법인,법인,2021,연북로 106,-,중개거래,제주 제주시
2,제주특별자치도 제주시 노형동,711-5,711,5,노형 이타스 2,55.2300,202507,5,"14,900",8,개인,개인,2015, ,-,중개거래,제주 제주시
3,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,25.0250,202507,4,"2,400",5,개인,개인,1994,태평로 438,-,중개거래,제주 서귀포시
4,제주특별자치도 제주시 연동,2331-10,2331,10,연동해든빌,80.0725,202507,4,"35,000",13,법인,법인,2019,도령로13길 2,-,직거래,-
5,제주특별자치도 제주시 도련일동,1938-5,1938,5,제주 아빌로스,35.1000,202507,3,"10,000",9,개인,개인,2014,건주로4길 6-4,-,중개거래,제주 제주시
6,제주특별자치도 제주시 일도이동,409-9,409,9,에코그린빌14차 와우,32.2000,202507,3,"15,000",10,개인,개인,2018,고마로 107,-,직거래,-
7,제주특별자치도 제주시 연동,283-23,283,23,블루시티,31.2300,202507,3,"4,600",10,개인,개인,2006,은남4길 27,-,직거래,-
8,제주특별자치도 제주시 삼도이동,1173-2,1173,2,라온제나오피스텔삼도,84.9000,202507,1,"20,000",6,개인,법인,2021,탑동로13길 39,-,직거래,-
9,제주특별자치도 제주시 노형동,711-3,711,3,온정,39.5150,202507,1,"9,900",7,개인,개인,2012,연북로 14,-,중개거래,제주 제주시
10,제주특별자치도 제주시 노형동,719-2,719,2,아델리안,84.3800,202507,1,"20,000",2,개인,개인,2015, ,-,직거래,-
11,제주특별자치도 제주시 아라일동,6138-1,6138,1,아델 레지던스2,25.8050,202506,27,"9,500",5,개인,법인,2017,중앙로 575,-,중개거래,제주 제주시
12,제주특별자치도 제주시 일도이동,362-20,362,20,덕산가온누리빌,84.2700,202506,27,"30,000",7,개인,개인,2018,신산로 107,-,직거래,-
13,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,30.0000,202506,27,"4,900",7,개인,개인,1991,도령로 54,-,중개거래,제주 제주시
14,제주특별자치도 제주시 연동,278,278,0,연동 풀하우스,43.5000,202506,27,"8,600",4,개인,개인,2011,연동8길 29,-,중개거래,제주 제주시
15,제주특별자치도 제주시 조천읍 함덕리,1498,1498,0,씨앤하우스,83.4171,202506,26,"17,032",2,공공기관,법인,2017,함덕서4길 11,-,직거래,-
