NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 제주시 조천읍 함덕리,1045,1045,0,함덕빌드웰비치타운,77.4999,201912,31,"42,128",4,-,-,2019,신북로 479-2,-,-,-
2,제주특별자치도 제주시 조천읍 함덕리,1045,1045,0,함덕빌드웰비치타운,79.8695,201912,30,"42,990",4,-,-,2019,신북로 479-2,-,-,-
3,제주특별자치도 제주시 조천읍 함덕리,923-1,923,1,창경오피스텔,67.7340,201912,27,"27,000",6,-,-,2019,함덕서4길 60-9,-,-,-
4,제주특별자치도 제주시 연동,292-42,292,42,노바빌리지,77.0923,201912,27,"38,000",10,-,-,2018,신대로12길 10,-,-,-
5,제주특별자치도 제주시 이도이동,1021,1021,0,도남해든빌,35.5300,201912,27,"16,000",4,-,-,2019,고산동산서길 11-2,-,-,-
6,제주특별자치도 제주시 조천읍 함덕리,1045,1045,0,함덕빌드웰비치타운,59.8647,201912,26,"31,057",7,-,-,2019,신북로 479-2,-,-,-
7,제주특별자치도 제주시 연동,271-5,271,5,연동 이타스,84.9200,201912,26,"21,000",7,-,-,2013,신광로 19,-,-,-
8,제주특별자치도 제주시 연동,283-23,283,23,블루시티,29.6300,201912,26,"5,300",3,-,-,2006,은남4길 27,-,-,-
9,제주특별자치도 서귀포시 표선면 표선리,507-1,507,1,썬비치빌,83.7200,201912,24,"28,254",7,-,-,2018,표선중앙로43번길 25-8,-,-,-
10,제주특별자치도 제주시 오라이동,1394-1,1394,1,오라동벽강하이본타워4차,52.5094,201912,24,"22,000",6,-,-,2017,사평6길 37-8,-,-,-
11,제주특별자치도 제주시 조천읍 함덕리,1045,1045,0,함덕빌드웰비치타운,77.1732,201912,24,"42,214",5,-,-,2019,신북로 479-2,-,-,-
12,제주특별자치도 제주시 조천읍 함덕리,1045,1045,0,함덕빌드웰비치타운,83.3795,201912,24,"42,598",5,-,-,2019,신북로 479-2,-,-,-
13,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,35.0000,201912,23,"3,400",10,-,-,1992,중정로 123,-,-,-
14,제주특별자치도 제주시 연동,290-42,290,42,천마 에코피아 오피스텔,42.4150,201912,23,"15,000",3,-,-,2017,삼무로11길 4,-,-,-
15,제주특별자치도 제주시 이도이동,1138-1,1138,1,이도위더스빌24차,84.9000,201912,23,"23,200",3,-,-,2014,동광로6길 35-6,-,-,-
16,제주특별자치도 제주시 연동,290-42,290,42,천마 에코피아 오피스텔,42.4150,201912,23,"22,792",4,-,-,2017,삼무로11길 4,-,-,-
17,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,201912,21,"6,400",3,-,-,2004,연북로 45,-,-,-
18,제주특별자치도 제주시 연동,1954-3,1954,3,(1954-3),31.7800,201912,20,"10,500",2,-,-,2016,남녕로 34,-,-,-
19,제주특별자치도 제주시 연동,304-19,304,19,월드룸,31.5000,201912,20,"6,200",10,-,-,2001,비월길 2,-,-,-
20,제주특별자치도 제주시 삼양이동,2142-1,2142,1,삼화다온펠리스,42.8935,201912,20,"19,559",9,-,-,2019,지석2길 3,-,-,-
21,제주특별자치도 제주시 연동,2331-10,2331,10,연동해든빌,76.6580,201912,19,"44,300",9,-,-,2019,도령로13길 2,-,-,-
22,제주특별자치도 제주시 노형동,906-5,906,5,한신코아오피스텔,38.5700,201912,18,"5,500",12,-,-,1991,도령로 54,-,-,-
23,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,30.2400,201912,17,"6,800",5,-,-,1990,도령로 87,-,-,-
24,제주특별자치도 제주시 외도일동,495-2,495,2,남건휴먼스 7차,59.9300,201912,16,"19,999",9,-,-,2016,우정로10길 8,-,-,-
25,제주특별자치도 제주시 삼도일동,566-20,566,20,삼도유화에버빌,79.3300,201912,16,"26,450",2,-,-,2018,삼오길 22,-,-,-
26,제주특별자치도 제주시 연동,2331-10,2331,10,연동해든빌,80.0725,201912,16,"44,100",9,-,-,2019,도령로13길 2,-,-,-
27,제주특별자치도 제주시 이도이동,1021,1021,0,도남해든빌,35.5300,201912,15,"18,100",4,-,-,2019,고산동산서길 11-2,-,-,-
28,제주특별자치도 서귀포시 서귀동,251-1,251,1,선경오피스텔,42.4000,201912,13,"3,500",6,-,-,1992,중정로 123,-,-,-
29,제주특별자치도 제주시 한림읍 수원리,763,763,0,갤럭시 한수풀랜드,84.8900,201912,12,"17,650",2,-,-,2016,한림로 785,-,-,-
30,제주특별자치도 서귀포시 성산읍 고성리,1499,1499,0,성산청담휴클래스,78.9006,201912,12,"25,300",7,-,-,2017,서성일로 1213-16,-,-,-
31,제주특별자치도 제주시 이도이동,1021,1021,0,도남해든빌,35.5300,201912,12,"17,800",3,-,-,2019,고산동산서길 11-2,-,-,-
32,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,36.3600,201912,12,"17,900",8,-,-,2018,신대로14길 47,-,-,-
33,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.1400,201912,10,"5,500",8,-,-,2004,연북로 41,-,-,-
34,제주특별자치도 제주시 연동,1374-2,1374,2,에코 블루,36.4500,201912,10,"12,300",2,-,-,2015,연북로 98,-,-,-
35,제주특별자치도 서귀포시 대정읍 보성리,2476-10,2476,10,남영에듀클래스,24.8900,201912,9,"10,000",3,-,-,2017, ,-,-,-
36,제주특별자치도 서귀포시 법환동,1196-10,1196,10,루체클래식,84.7000,201912,9,"27,000",5,-,-,2016,법환로 55,-,-,-
37,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,201912,7,"5,700",15,-,-,2004,연북로 45,-,-,-
38,제주특별자치도 제주시 노형동,711-2,711,2,이레하이텔,36.9400,201912,5,"7,800",8,-,-,2003,연북로 12,-,-,-
39,제주특별자치도 제주시 이도일동,1690-4,1690,4,제주 트리뷰아일랜드 오피스텔,41.7300,201912,5,"20,000",9,-,-,2018,전농로 119,-,-,-
40,제주특별자치도 제주시 외도일동,537-2,537,2,남건휴먼스 5차,44.0100,201912,4,"9,300",6,-,-,2015,우령서로 67,-,-,-
