NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 제주시 노형동,906-5,0906,0005,한신코아오피스텔,30.0000,202212,31,"5,300",2,-,-,1991,도령로 54,-,중개거래,제주 제주시
2,제주특별자치도 제주시 연동,283-23,0283,0023,블루시티,31.2300,202212,31,"5,600",6,-,-,2006,은남4길 27,20230813,중개거래,제주 제주시
3,제주특별자치도 제주시 노형동,905-3,0905,0003,(905-3),36.8550,202212,29,"7,244",10,-,-,1991,도령로 40,-,직거래,-
4,제주특별자치도 제주시 연동,272-33,0272,0033,로얄쇼핑센타및오피스텔,46.0200,202212,24,"6,500",6,-,-,1992,신대로12길 51,-,직거래,-
5,제주특별자치도 제주시 삼양이동,2174-17,2174,0017,청담휴클래스,59.4757,202212,24,"22,200",10,-,-,2016, ,-,중개거래,제주 제주시
6,제주특별자치도 서귀포시 대포동,810-2,0810,0002,더바른오피스텔,61.9590,202212,22,"21,000",2,-,-,2017,대포복개로 95,-,직거래,-
7,제주특별자치도 제주시 애월읍 애월리,478-2,0478,0002,가온누리 아파텔,86.4500,202212,20,"24,000",7,-,-,2017, ,-,중개거래,대구 달서구
8,제주특별자치도 제주시 노형동,722-3,0722,0003,메르헨하우스2,20.1400,202212,20,"4,900",14,-,-,2004,연북로 45,-,중개거래,제주 제주시
9,제주특별자치도 제주시 외도일동,445-2,0445,0002,남건휴먼스4차,43.4400,202212,17,"10,500",3,-,-,2015, ,-,중개거래,제주 제주시
10,제주특별자치도 제주시 연동,262-8,0262,0008,(262-8),32.8000,202212,14,"2,500",6,-,-,1992,신광로 58,-,직거래,-
11,제주특별자치도 제주시 일도이동,133-29,0133,0029,(133-29),55.9650,202212,13,"20,000",4,-,-,2018,동문로 128-1,-,직거래,-
12,제주특별자치도 제주시 외도일동,505-8,0505,0008,남건휴먼스2차,42.3800,202212,13,"9,000",4,-,-,2015, ,-,중개거래,제주 제주시
13,제주특별자치도 서귀포시 동홍동,386-1,0386,0001,동홍동코아루오션뷰오피스텔,84.0000,202212,13,"27,000",7,-,-,2017,태평로 499,-,중개거래,제주 서귀포시
14,제주특별자치도 제주시 노형동,906-5,0906,0005,한신코아오피스텔,30.0000,202212,13,"5,200",12,-,-,1991,도령로 54,-,직거래,-
15,제주특별자치도 제주시 외도일동,505-4,0505,0004,한탑주상복합,40.2600,202212,12,"10,500",6,-,-,2008,우령2길 3-3,-,중개거래,제주 제주시
16,제주특별자치도 제주시 삼도일동,584-5,0584,0005,어울림타워 프로미스,62.7940,202212,12,"31,700",18,-,-,2019,도남로 4,-,중개거래,제주 제주시
17,제주특별자치도 서귀포시 동홍동,386-1,0386,0001,동홍동코아루오션뷰오피스텔,84.0000,202212,12,"24,000",2,-,-,2017,태평로 499,-,직거래,-
18,제주특별자치도 제주시 조천읍 함덕리,968,0968,0000,씨엘빌리지2차,83.4300,202212,10,"20,000",4,-,-,2017,함덕20길 16,20221230,직거래,-
19,제주특별자치도 제주시 연동,1371-1,1371,0001,연동에코그린,84.0800,202212,10,"25,800",8,-,-,2012,연북로 70,-,직거래,-
20,제주특별자치도 제주시 이도일동,1258-13,1258,0013,이도센트레시티,41.8572,202212,07,"17,000",7,-,-,2017, ,-,중개거래,제주 제주시
21,제주특별자치도 제주시 연동,1373-1,1373,0001,아일랜드마이빌,25.2100,202212,06,"6,700",2,-,-,2004,신대로22길 25,-,중개거래,제주 제주시
22,제주특별자치도 제주시 연동,1371-2,1371,0002,에코민트,74.7600,202212,05,"29,500",6,-,-,2018,연북로 72,-,중개거래,제주 제주시
23,제주특별자치도 제주시 노형동,722-3,0722,0003,메르헨하우스2,20.1400,202212,02,"5,000",14,-,-,2004,연북로 45,-,중개거래,제주 제주시
24,제주특별자치도 제주시 노형동,722-3,0722,0003,메르헨하우스2,20.1400,202211,30,"5,300",13,-,-,2004,연북로 45,-,중개거래,제주 제주시
25,제주특별자치도 제주시 노형동,722-3,0722,0003,메르헨하우스2,20.1400,202211,30,"5,300",13,-,-,2004,연북로 45,-,직거래,-
26,제주특별자치도 서귀포시 서귀동,251-1,0251,0001,선경오피스텔,44.0000,202211,30,"3,000",4,-,-,1992,중정로 123,-,직거래,-
27,제주특별자치도 제주시 연동,304-19,0304,0019,월드룸,31.5000,202211,25,"6,500",7,-,-,2001,비월길 2,-,중개거래,제주 제주시
28,제주특별자치도 제주시 노형동,722-2,0722,0002,메르헨하우스3,20.1400,202211,25,"4,500",1,-,-,2004,연북로 41,-,중개거래,제주 제주시
29,제주특별자치도 제주시 노형동,722-3,0722,0003,메르헨하우스2,20.1400,202211,23,"5,700",3,-,-,2004,연북로 45,-,중개거래,제주 제주시
30,제주특별자치도 제주시 외도일동,450-12,0450,0012,외도 이안애,80.4204,202211,20,"26,500",7,-,-,2017,우정로3길 12,-,중개거래,제주 제주시
31,제주특별자치도 제주시 삼도이동,913-5,0913,0005,진아타워,40.2700,202211,19,"9,500",10,-,-,2005,관덕로2길 17,-,중개거래,제주 제주시
32,제주특별자치도 제주시 노형동,924-1,0924,0001,이편한세상 시티 노형,41.0237,202211,18,"30,000",10,-,-,2019,원노형남1길 11,-,중개거래,제주 제주시
33,제주특별자치도 서귀포시 서귀동,163-11,0163,0011,남양오피스텔,38.2500,202211,12,"4,700",8,-,-,1994,태평로 438,-,중개거래,제주 서귀포시
34,제주특별자치도 제주시 조천읍 신촌리,1774,1774,0000,태극 헤이븐,40.0030,202211,11,"17,000",3,-,-,2022,신촌6길 17,-,직거래,-
35,제주특별자치도 서귀포시 남원읍 남원리,76,0076,0000,라인힐,84.4000,202211,10,"23,000",2,-,-,2017,남원회관로 89,-,직거래,-
36,제주특별자치도 제주시 노형동,906-5,0906,0005,한신코아오피스텔,30.0000,202211,10,"6,300",8,-,-,1991,도령로 54,-,중개거래,제주 제주시
37,제주특별자치도 제주시 연동,272-33,0272,0033,로얄쇼핑센타및오피스텔,39.6000,202211,04,"7,000",5,-,-,1992,신대로12길 51,-,직거래,-
38,제주특별자치도 제주시 연동,272-33,0272,0033,로얄쇼핑센타및오피스텔,19.3000,202211,04,"4,000",5,-,-,1992,신대로12길 51,-,직거래,-
39,제주특별자치도 제주시 노형동,906-5,0906,0005,한신코아오피스텔,30.0000,202211,03,"7,000",10,-,-,1991,도령로 54,-,직거래,-
40,제주특별자치도 제주시 노형동,711-3,0711,0003,온정,39.5150,202211,03,"13,700",8,-,-,2012,연북로 14,-,중개거래,제주 제주시
41,제주특별자치도 제주시 조천읍 신촌리,1774,1774,0000,태극 헤이븐,40.0030,202211,01,"17,200",3,-,-,2022,신촌6길 17,-,직거래,-
