NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,41.1700,201812,30,"12,952",3,-,-,2017, ,-,-,-
2,제주특별자치도 제주시 외도일동,450-12,450,12,외도 이안애,80.4744,201812,28,"27,000",5,-,-,2017,우정로3길 12,-,-,-
3,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,31.9350,201812,26,"11,873",2,-,-,2017, ,-,-,-
4,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,33.6000,201812,26,"7,000",5,-,-,1990,도령로 87,-,-,-
5,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,31.9350,201812,26,"11,873",2,-,-,2017, ,-,-,-
6,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,31.9350,201812,26,"11,873",3,-,-,2017, ,-,-,-
7,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,41.1700,201812,26,"12,952",3,-,-,2017, ,-,-,-
8,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,31.9350,201812,26,"11,873",3,-,-,2017, ,-,-,-
9,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,31.9350,201812,26,"11,873",2,-,-,2017, ,-,-,-
10,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,31.9350,201812,26,"11,873",4,-,-,2017, ,-,-,-
11,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,31.9350,201812,26,"11,873",4,-,-,2017, ,-,-,-
12,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,31.9350,201812,26,"11,873",4,-,-,2017, ,-,-,-
13,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,41.1700,201812,26,"12,952",6,-,-,2017, ,-,-,-
14,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,41.1700,201812,26,"12,952",5,-,-,2017, ,-,-,-
15,제주특별자치도 서귀포시 법환동,747-1,747,1,더프라임,41.1700,201812,26,"12,952",8,-,-,2017, ,-,-,-
16,제주특별자치도 제주시 노형동,719-2,719,2,아델리안,84.3400,201812,24,"28,700",8,-,-,2015, ,-,-,-
17,제주특별자치도 서귀포시 동홍동,393-3,393,3,지예타워 V,83.0700,201812,24,"22,000",3,-,-,2015,태평로 483,-,-,-
18,제주특별자치도 서귀포시 중문동,2028-1,2028,1,세움엠시티,29.4940,201812,21,"18,500",10,-,-,2018,천제연로 198,-,-,-
19,제주특별자치도 제주시 노형동,719,719,0,에코퍼플,84.9400,201812,21,"30,400",6,-,-,2014, ,-,-,-
20,제주특별자치도 제주시 연동,304-19,304,19,월드룸,31.5000,201812,20,"6,000",6,-,-,2001,비월길 2,-,-,-
21,제주특별자치도 제주시 외도일동,449-8,449,8,외도 바움채,77.1106,201812,20,"29,500",7,-,-,2017,절물1길 22,-,-,-
22,제주특별자치도 제주시 연동,304-19,304,19,월드룸,31.5000,201812,20,"6,000",6,-,-,2001,비월길 2,-,-,-
23,제주특별자치도 제주시 연동,275,275,0,세인트스톤 더 부티크,54.8754,201812,18,"39,311",6,-,-,2018,신광로 91,-,-,-
24,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,39.0000,201812,17,"2,850",10,-,-,1994,태평로 438,-,-,-
25,제주특별자치도 제주시 연동,2324-5,2324,5,제주현대오피스텔,33.6000,201812,12,"5,200",11,-,-,1990,도령로 87,-,-,-
26,제주특별자치도 제주시 외도일동,450-12,450,12,외도 이안애,80.2054,201812,12,"25,000",3,-,-,2017,우정로3길 12,-,-,-
27,제주특별자치도 제주시 외도일동,450-12,450,12,외도 이안애,80.2054,201812,12,"25,000",4,-,-,2017,우정로3길 12,-,-,-
28,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.1400,201812,11,"6,700",5,-,-,2004,연북로 41,-,-,-
29,제주특별자치도 서귀포시 서귀동,307-10,307,10,수앤수,33.8504,201812,11,"13,000",7,-,-,2017,중앙로71번길 15-5,-,-,-
30,제주특별자치도 서귀포시 서귀동,307-10,307,10,수앤수,33.8504,201812,11,"13,000",7,-,-,2017,중앙로71번길 15-5,-,-,-
31,제주특별자치도 제주시 노형동,2534-2,2534,2,노형 위더스빌,84.6700,201812,11,"30,700",5,-,-,2013,수덕3길 43,-,-,-
32,제주특별자치도 제주시 노형동,725-4,725,4,녹색도시,82.5400,201812,10,"28,000",9,-,-,2015, ,-,-,-
33,제주특별자치도 서귀포시 서귀동,163-11,163,11,남양오피스텔,60.3920,201812,7,"6,000",9,-,-,1994,태평로 438,-,-,-
34,제주특별자치도 제주시 연동,253-5,253,5,신제주 신성오피스텔,25.2450,201812,7,"6,800",8,-,-,1990,노연로 62,-,-,-
35,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,39.7600,201812,7,"20,700",7,-,-,2018,신대로14길 47,-,-,-
36,제주특별자치도 서귀포시 대정읍 보성리,2477,2477,0,이노에듀파크,27.9700,201812,6,"13,000",2,-,-,2018,글로벌에듀로 370,-,-,-
37,제주특별자치도 제주시 오라이동,1394-1,1394,1,오라동벽강하이본타워4차,45.4240,201812,6,"18,000",3,-,-,2017,사평6길 37-8,-,-,-
38,제주특별자치도 서귀포시 남원읍 위미리,4171-3,4171,3,위미 캐슬 휘닉스,84.9000,201812,5,"23,100",2,-,-,2018, ,-,-,-
39,제주특별자치도 제주시 외도일동,418-6,418,6,백강수피아 아파트5차,43.4700,201812,4,"17,120",5,-,-,2018,우정로4길 4,-,-,-
40,제주특별자치도 제주시 외도일동,418-6,418,6,백강수피아 아파트5차,61.9900,201812,4,"28,569",11,-,-,2018,우정로4길 4,-,-,-
41,제주특별자치도 제주시 외도일동,418-6,418,6,백강수피아 아파트5차,43.4700,201812,4,"18,158",8,-,-,2018,우정로4길 4,-,-,-
42,제주특별자치도 제주시 외도일동,418-6,418,6,백강수피아 아파트5차,43.4700,201812,4,"18,158",7,-,-,2018,우정로4길 4,-,-,-
43,제주특별자치도 제주시 외도일동,418-6,418,6,백강수피아 아파트5차,43.4700,201812,4,"17,409",6,-,-,2018,우정로4길 4,-,-,-
44,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,36.3600,201812,4,"17,900",10,-,-,2018,신대로14길 47,-,-,-
45,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,36.3900,201812,4,"17,900",11,-,-,2018,신대로14길 47,-,-,-
46,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,36.3600,201812,4,"17,900",9,-,-,2018,신대로14길 47,-,-,-
47,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,36.3900,201812,4,"17,900",9,-,-,2018,신대로14길 47,-,-,-
48,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,36.3900,201812,4,"17,900",10,-,-,2018,신대로14길 47,-,-,-
49,제주특별자치도 제주시 연동,1370-3,1370,3,에코파인,84.8400,201812,4,"28,700",5,-,-,2015, ,-,-,-
50,제주특별자치도 제주시 영평동,2169-3,2169,3,엠제이벤처오름,73.5993,201812,4,"32,500",5,-,-,2017,첨단로 199,-,-,-
51,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,28.4500,201812,4,"15,780",13,-,-,2018,신대로14길 47,-,-,-
52,제주특별자치도 서귀포시 표선면 표선리,507-1,507,1,썬비치빌,80.8200,201812,3,"27,711",5,-,-,2018,표선중앙로43번길 25-8,-,-,-
53,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,39.7600,201812,3,"18,800",8,-,-,2018,신대로14길 47,-,-,-
54,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,39.7600,201812,3,"18,800",9,-,-,2018,신대로14길 47,-,-,-
55,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,39.7600,201812,3,"18,800",12,-,-,2018,신대로14길 47,-,-,-
56,제주특별자치도 제주시 연동,273-27,273,27,연동뜨레모아팰리스,35.2300,201812,3,"17,200",13,-,-,2018,신대로14길 47,-,-,-
57,제주특별자치도 서귀포시 남원읍 위미리,4171-3,4171,3,위미 캐슬 휘닉스,84.8900,201812,3,"24,700",2,-,-,2018, ,-,-,-
58,제주특별자치도 제주시 일도이동,133-29,133,29,(133-29),64.8350,201811,29,"26,160",9,-,-,2018,동문로 128-1,-,-,-
59,제주특별자치도 제주시 노형동,722-3,722,3,메르헨하우스2,20.1400,201811,26,"6,800",10,-,-,2004,연북로 45,-,-,-
60,제주특별자치도 제주시 노형동,722-2,722,2,메르헨하우스3,20.1400,201811,23,"5,550",3,-,-,2004,연북로 41,-,-,-
