NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 제주시 아라일동,6082-3,6082,3,아라원신,84.3450,201612,31,"27,500",-,5,-,-,1992,중앙로 578,-,-,-,-
2,제주특별자치도 제주시 오라이동,1492,1492,0,미듬아뜨리에,59.8575,201612,31,"23,300",-,4,-,-,2014,연사길 83-20,-,-,-,-
3,제주특별자치도 제주시 외도일동,440-8,440,8,한울아파트,84.7500,201612,31,"28,100",-,4,-,-,2016,우령8길 5-6,-,-,-,-
4,제주특별자치도 제주시 아라일동,6142-13,6142,13,염광,68.5800,201612,31,"24,500",-,1,-,-,1990,인다15길 5,-,-,-,-
5,제주특별자치도 제주시 화북이동,117,117,0,제주삼화엘에이치2단지,84.9500,201612,30,"46,500",-,11,-,-,2014,화삼로 32,-,-,-,-
6,제주특별자치도 제주시 노형동,732,732,0,부영1차,80.6583,201612,30,"42,500",-,2,-,-,2001,원노형로 93,-,-,-,-
7,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,201612,30,"30,000",-,5,-,-,2001,과원로 11,-,-,-,-
8,제주특별자치도 서귀포시 서홍동,303,303,0,신생훼밀리,59.9400,201612,30,"11,400",-,3,-,-,1992,흙담솔로 20,-,-,-,-
9,제주특별자치도 제주시 외도일동,439-5,439,5,위너스,133.1800,201612,30,"38,000",-,4,-,-,2011,우령8길 5-7,-,-,-,-
10,제주특별자치도 서귀포시 동홍동,357-6,357,6,덕산가온누리빌,84.9500,201612,30,"24,000",-,5,-,-,2015,태평로512번길 1-4,-,-,-,-
11,제주특별자치도 제주시 이도이동,1956,1956,0,이도한일베라체,175.7100,201612,30,"87,500",-,7,-,-,2011,신설로 55,-,-,-,-
12,제주특별자치도 서귀포시 강정동,158-1,158,1,윙스스카이2차,27.3000,201612,30,"8,500",-,2,-,-,2013,신서귀로51번길 33,-,-,-,-
13,제주특별자치도 제주시 화북일동,12-1,12,1,화북주공4단지,59.9300,201612,29,"24,600",-,5,-,-,1998,동화로1길 10,-,-,-,-
14,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,201612,29,"29,900",-,6,-,-,2001,과원로 11,-,-,-,-
15,제주특별자치도 제주시 아라일동,6142-13,6142,13,염광,46.3200,201612,29,"18,700",-,1,-,-,1990,인다15길 5-6,-,-,-,-
16,제주특별자치도 제주시 노형동,1057-2,1057,2,노형이화2차,101.4000,201612,29,"24,000",-,5,-,-,1995,수덕로 13,-,-,-,-
17,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),39.7900,201612,29,"15,100",-,1,-,-,1999,중산간동로 8002,-,-,-,-
18,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.8700,201612,29,"18,300",-,5,-,-,1999,중산간동로 8002,-,-,-,-
19,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.8700,201612,29,"18,000",-,5,-,-,1999,중산간동로 8002,-,-,-,-
20,제주특별자치도 제주시 이도일동,1529-6,1529,6,장원아이비,84.1400,201612,29,"17,000",-,5,-,-,2005,중앙로 109-1,-,-,-,-
21,제주특별자치도 제주시 노형동,754-3,754,3,부영3차,84.9508,201612,28,"48,000",-,10,-,-,2001,과원로 27,-,-,-,-
22,제주특별자치도 제주시 일도이동,408,408,0,서해1,84.1500,201612,28,"19,600",-,1,-,-,1984,천수로9길 10,-,-,-,-
23,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.3616,201612,28,"43,000",-,9,-,-,2013,화삼로 12,-,-,-,-
24,제주특별자치도 제주시 이도일동,1380,1380,0,극동행복그린,84.9233,201612,28,"34,300",-,3,-,-,2016,관덕로8길 11,-,-,-,-
25,제주특별자치도 제주시 도남동,64,64,0,백록,71.6900,201612,28,"18,750",-,3,-,-,1994,도남로 104,-,-,-,-
26,제주특별자치도 제주시 화북일동,9-1,9,1,"화북주공2,3단지",59.9300,201612,28,"24,000",-,3,-,-,1998,동화로1길 39,-,-,-,-
27,제주특별자치도 제주시 노형동,754,754,0,부영5차,84.9508,201612,28,"53,000",-,12,-,-,2001,과원북2길 12,-,-,-,-
28,제주특별자치도 제주시 연동,290-5,290,5,엘리시아뷰,31.8600,201612,27,"11,500",-,8,-,-,2012,연삼로 18,-,-,-,-
29,제주특별자치도 서귀포시 동홍동,147,147,0,주공1,39.3000,201612,27,"12,000",-,3,-,-,1988,동홍중앙로 10,-,-,-,-
30,제주특별자치도 서귀포시 강정동,165-5,165,5,한빛테크놀즈101동,62.9884,201612,27,"14,000",-,4,-,-,2002,김정문화로27번길 13-3,-,-,-,-
31,제주특별자치도 서귀포시 대정읍 상모리,3922,3922,0,해누리2차아파트,80.0500,201612,27,"23,000",-,4,-,-,2016,상모로290번길 18,-,-,-,-
32,제주특별자치도 제주시 오라이동,1492,1492,0,미듬아뜨리에,59.8575,201612,27,"24,600",-,2,-,-,2014,연사길 83-20,-,-,-,-
33,제주특별자치도 서귀포시 동홍동,157,157,0,동홍동코아루,60.8541,201612,27,"20,000",-,6,-,-,2013,일주동로 8565,-,-,-,-
34,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,39.8400,201612,27,"14,000",-,7,-,-,2000,우정로11길 22,-,-,-,-
35,제주특별자치도 제주시 건입동,1004-4,1004,4,우일,59.3400,201612,27,"16,300",-,5,-,-,1993,만덕로3길 19,-,-,-,-
36,제주특별자치도 제주시 노형동,2615-8,2615,8,온산2차,114.2100,201612,27,"28,000",-,4,-,-,2001,수덕11길 34,-,-,-,-
