NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 제주시 삼도일동,539-1,539,1,신산스카이빌,84.1800,201712,31,"24,800",-,2,-,-,2006,전농로 68,-,-,-,-
2,제주특별자치도 서귀포시 동홍동,528-1,528,1,동홍동파밀리움,63.9524,201712,30,"32,000",-,3,-,-,2018,장수로 8,-,-,-,-
3,제주특별자치도 제주시 연동,261-44,261,44,제원1차,64.7000,201712,30,"31,000",-,3,-,-,1978,신광로6길 14,-,-,-,-
4,제주특별자치도 제주시 삼도이동,830-9,830,9,JNC패밀리II,30.2400,201712,30,"9,100",-,4,-,-,2013,관덕로2길 18,-,-,-,-
5,제주특별자치도 제주시 일도이동,361-25,361,25,이룸해피안,84.4300,201712,30,"30,000",-,10,-,-,2009,동광로 97,-,-,-,-
6,제주특별자치도 제주시 일도이동,113-7,113,7,대유대림아파트,84.9450,201712,30,"35,300",-,4,-,-,1997,남광로 181,-,-,-,-
7,제주특별자치도 제주시 노형동,2585-1,2585,1,중흥에스클래스(미리내마을),120.9434,201712,29,"60,000",-,3,-,-,2006,광평동로 66,-,-,-,-
8,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,59.9330,201712,29,"18,500",-,1,-,-,2000,우정로11길 22,-,-,-,-
9,제주특별자치도 서귀포시 성산읍 고성리,1499,1499,0,성산청담휴클래스,84.8600,201712,29,"34,700",-,7,-,-,2017,서성일로 1213-16,-,-,-,-
10,제주특별자치도 제주시 연동,1399,1399,0,대림이편한세상1차,84.9910,201712,29,"53,000",-,5,-,-,2001,국기로 14,-,-,-,-
11,제주특별자치도 제주시 이도이동,314-2,314,2,현원아트빌,81.7600,201712,29,"21,500",-,4,-,-,2003,동광로 80,-,-,-,-
12,제주특별자치도 제주시 화북일동,12-1,12,1,화북주공4단지,59.9300,201712,29,"21,500",-,2,-,-,1998,동화로1길 10,-,-,-,-
13,제주특별자치도 제주시 이도이동,888,888,0,주공1,40.3200,201712,29,"30,000",-,1,-,-,1985,구남로7길 36,-,-,-,-
14,제주특별자치도 서귀포시 서홍동,349-2,349,2,"민우아파트가동,나동",59.0800,201712,29,"13,400",-,4,-,-,1986,홍중로 53-3,-,-,-,-
