NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 서귀포시 중문동,2059-7,2059,7,중문스마트빌,33.9023,201812,31,"11,000",-,5,-,-,2017,중문상로 41-3,-,-,-,-
2,제주특별자치도 서귀포시 중문동,2059-7,2059,7,중문스마트빌,23.3415,201812,31,"6,000",-,5,-,-,2017,중문상로 41-3,-,-,-,-
3,제주특별자치도 서귀포시 동홍동,528-1,528,1,동홍동파밀리움,64.6794,201812,31,"30,000",-,1,-,-,2018,장수로 8,-,-,-,-
4,제주특별자치도 제주시 연동,250-6,250,6,예그린하우스텔,42.0500,201812,31,"13,000",-,8,-,-,2011,삼무로 9,-,-,-,-
5,제주특별자치도 제주시 연동,1961-5,1961,5,한라하이츠빌라,128.6300,201812,31,"21,000",-,5,-,-,1998,도령로7길 22,-,-,-,-
6,제주특별자치도 제주시 노형동,945,945,0,유나이티드,42.7500,201812,31,"13,300",-,6,-,-,1984,원노형10길 28,-,-,-,-
7,제주특별자치도 제주시 일도이동,113-6,113,6,일도우성2,99.3500,201812,31,"33,500",-,2,-,-,1995,남광로 223,-,-,-,-
8,제주특별자치도 제주시 건입동,710-7,710,7,우당뜨래별,79.6000,201812,31,"31,700",-,3,-,-,2018,동문로 131,-,-,-,-
9,제주특별자치도 서귀포시 서호동,1545,1545,0,HausD블루오션,84.9400,201812,31,"39,500",-,2,-,-,2015,서호남로 92-16,-,-,-,-
10,제주특별자치도 제주시 화북일동,9-1,9,1,"화북주공2,3단지",59.9300,201812,31,"22,100",-,5,-,-,1998,동화로1길 39,-,-,-,-
11,제주특별자치도 서귀포시 중문동,2059-7,2059,7,중문스마트빌,23.3415,201812,31,"7,000",-,7,-,-,2017,중문상로 41-3,-,-,-,-
