NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
760,제주특별자치도 서귀포시 동홍동,1557-1,1557,1,센트럴팰리스,21.9600,202503,9,"11,700",-,9,개인,개인,2018,중앙로 172,-,중개거래,제주 서귀포시,25.03.24
761,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,84.8900,202503,9,"30,500",-,1,개인,개인,2016,중문상로82번길 15,-,중개거래,제주 서귀포시,-
762,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202503,8,"35,600",202,9,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,25.04.14
763,제주특별자치도 서귀포시 서귀동,485-5,485,5,계림씨티빌,26.8800,202503,8,"8,000",-,5,개인,개인,2011,태평로401번길 12,-,직거래,-,25.03.12
764,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,84.9626,202503,8,"36,000",102동,4,개인,개인,2019,일주동로 8547-10,-,중개거래,제주 서귀포시,25.04.09
765,제주특별자치도 제주시 이도이동,324-6,324,6,동인미노스빌(가동),83.5200,202503,8,"25,700",-,4,개인,개인,2003,천수로 21,-,중개거래,제주 제주시,25.04.23
766,제주특별자치도 제주시 용담삼동,505,505,0,용두암현대1,83.5500,202503,7,"28,000",103,6,개인,개인,1991,용담로5길 25,-,중개거래,제주 제주시,25.04.30
767,제주특별자치도 제주시 노형동,1066-2,1066,2,세기6차,59.9600,202503,7,"24,000",-,3,개인,개인,1995,다랑곶1길 16,-,중개거래,제주 제주시,25.03.21
768,제주특별자치도 서귀포시 동홍동,179,179,0,제이원타워,15.2000,202503,7,"5,400",-,8,개인,개인,2015,태평로 509,-,중개거래,제주 서귀포시,25.03.13
769,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202503,7,"33,500",206,8,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,25.05.07
770,제주특별자치도 제주시 도련일동,1909,1909,0,제주삼화사랑으로부영7차,84.9933,202503,7,"61,500",708동,10,개인,개인,2015,화삼북로 90,-,중개거래,제주 제주시,25.04.28
771,제주특별자치도 제주시 한림읍 옹포리,340-1,340,1,씨비양빌리지,84.9600,202503,7,"25,000",-,4,개인,개인,2017,한림해안로 8,-,중개거래,제주 제주시,25.04.02
772,제주특별자치도 서귀포시 중문동,1999-2,1999,2,민우중문,84.5400,202503,6,"9,500",나,5,개인,개인,1993,천제연로213번길 14-3,-,직거래,-,25.04.04
773,제주특별자치도 제주시 노형동,732-1,732,1,해오름,59.5600,202503,6,"53,300",102,13,개인,개인,2001,연화로 16,-,중개거래,"제주 서귀포시, 제주 제주시",25.04.07
774,제주특별자치도 서귀포시 동홍동,119,119,0,주공2(동홍2),39.6900,202503,6,"15,500",204,1,개인,개인,1990,동홍중앙로 30,-,중개거래,제주 서귀포시,25.04.28
775,제주특별자치도 제주시 일도이동,392-8,392,8,삼오정진,156.1200,202503,6,"36,000",-,2,개인,개인,1993,가령골길 15,-,직거래,-,25.04.22
776,제주특별자치도 제주시 노형동,1041-5,1041,5,미화2차,59.5500,202503,6,"14,000",-,2,개인,개인,1995,다랑곶2길 51,-,직거래,-,25.03.25
777,제주특별자치도 서귀포시 중문동,1726,1726,0,e편한세상중문,84.9875,202503,6,"44,500",105동,2,개인,개인,2021,일주서로731번길 10,-,중개거래,제주 서귀포시,25.04.25
778,제주특별자치도 서귀포시 서홍동,347-2,347,2,형남,84.7400,202503,6,"29,300",-,8,개인,개인,2009,홍중로 67,-,중개거래,제주 서귀포시,25.05.07
779,제주특별자치도 서귀포시 동홍동,119,119,0,주공2(동홍2),39.6900,202503,6,"15,500",-,1,개인,개인,1990,동홍중앙로 30,20250306,중개거래,제주 서귀포시,-
780,제주특별자치도 서귀포시 대정읍 동일리,3172,3172,0,모슬포라움,84.9800,202503,6,"38,472",모슬포 라움,2,개인,법인,2021,동일하모로131번길 24,-,직거래,-,25.04.17
781,제주특별자치도 제주시 조천읍 함덕리,4168,4168,0,광명샤인빌,59.2517,202503,6,"19,800",105,1,개인,개인,2006,함덕30길 27,-,중개거래,제주 제주시,25.03.25
782,제주특별자치도 제주시 연동,278-2,278,2,제주연동한일베라체더퍼스트,83.4139,202503,5,"59,500",101동,11,개인,개인,2023,사장3길 32,-,중개거래,제주 제주시,25.04.02
783,제주특별자치도 제주시 외도일동,476-3,476,3,체리티,84.7500,202503,5,"28,000",-,7,개인,개인,2005,우정로 37,-,중개거래,제주 제주시,-
784,제주특별자치도 제주시 연동,1964-2,1964,2,"대림(101,102동)",57.3600,202503,5,"25,250",102,5,개인,개인,1990,성신로 9,-,중개거래,제주 제주시,25.04.25
785,제주특별자치도 제주시 노형동,731-2,731,2,한화,108.4439,202503,5,"99,000",102,11,개인,개인,2002,원노형로 102,-,중개거래,제주 제주시,25.04.02
786,제주특별자치도 제주시 연동,294-85,294,85,엘리시아,30.4500,202503,5,"9,100",-,3,개인,개인,2013,사장1길 16,-,중개거래,제주 제주시,25.03.11
787,제주특별자치도 제주시 화북일동,9-1,9,1,"화북주공2,3단지",59.9300,202503,5,"33,500",화북2아파트201,4,개인,개인,1998,동화로1길 39,-,중개거래,제주 제주시,25.04.22
788,제주특별자치도 제주시 연동,271-19,271,19,해월루,21.5600,202503,4,"6,500",-,4,개인,개인,2012,삼무로3길 41,-,중개거래,제주 제주시,25.03.11
789,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,59.9330,202503,4,"25,000",-,4,개인,개인,2000,우정로11길 22,20250327,중개거래,제주 제주시,-
790,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,59.9330,202503,4,"25,000",-,4,개인,개인,2000,우정로11길 22,-,중개거래,제주 제주시,-
791,제주특별자치도 제주시 구좌읍 세화리,1323-3,1323,3,이루안아파트,84.4400,202503,4,"26,500",-,7,개인,법인,2016,구좌로 70,-,중개거래,제주 제주시,25.04.21
792,제주특별자치도 제주시 노형동,2583-1,2583,1,노형뜨란채,84.6700,202503,4,"62,000",201,10,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,25.04.28
793,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202503,4,"28,000",205,1,개인,개인,2001,과원로 11,-,직거래,-,25.03.07
794,제주특별자치도 제주시 이도일동,1694-1,1694,1,삼성2차미화아파트,70.7200,202503,4,"14,700",-,5,개인,개인,1990,오현길 24,-,중개거래,제주 제주시,25.06.26
795,제주특별자치도 서귀포시 동홍동,147,147,0,주공1,39.3000,202503,4,"12,000",104,5,개인,개인,1988,동홍중앙로 10,-,직거래,-,25.03.05
796,제주특별자치도 서귀포시 대정읍 동일리,3172,3172,0,모슬포라움,84.2700,202503,4,"38,402",모슬포 라움,3,개인,법인,2021,동일하모로131번길 24,-,직거래,-,25.04.16
797,제주특별자치도 서귀포시 동홍동,1674,1674,0,주공5차(동홍5차),49.8700,202503,4,"17,400",505,4,개인,개인,1999,중산간동로 8002,-,중개거래,제주 서귀포시,25.04.02
798,제주특별자치도 제주시 연동,258,258,0,연동뜨레모아,84.9044,202503,4,"59,900",-,9,개인,개인,2016,연동4길 36,-,중개거래,제주 제주시,25.04.28
799,제주특별자치도 서귀포시 동홍동,112-1,112,1,동홍위더스빌31차,81.6100,202503,3,"39,000",101동,6,개인,개인,2019,동홍서로 96,-,중개거래,제주 서귀포시,25.03.24
800,제주특별자치도 서귀포시 동홍동,1557-1,1557,1,센트럴팰리스,26.9400,202503,3,"14,300",-,6,개인,개인,2018,중앙로 172,-,중개거래,제주 제주시,25.03.12
801,제주특별자치도 제주시 이도이동,1065,1065,0,해마루빌,84.8900,202503,3,"34,000",-,9,개인,개인,2012,연삼로 406,-,중개거래,제주 제주시,25.04.29
802,제주특별자치도 제주시 외도일동,560-2,560,2,부영(2차),84.9873,202503,3,"47,000",부영아파트 208,11,개인,개인,2001,우평로 318,-,중개거래,제주 제주시,25.04.24
803,제주특별자치도 제주시 일도이동,47-1,47,1,일도신천지,59.9700,202503,2,"25,000",-,6,개인,개인,1993,천수로 72,20250624,중개거래,제주 제주시,-
804,제주특별자치도 서귀포시 동홍동,201,201,0,삼아,84.9600,202503,2,"20,500",106,3,개인,법인,1991,태평로536번길 6,-,중개거래,제주 서귀포시,25.04.04
805,제주특별자치도 제주시 일도이동,47-1,47,1,일도신천지,59.9700,202503,2,"25,000",-,6,개인,개인,1993,천수로 72,20250304,중개거래,제주 제주시,-
806,제주특별자치도 제주시 화북이동,116,116,0,제주삼화사랑으로부영2차,84.3616,202503,2,"53,000",206,2,개인,개인,2013,화삼로 12,-,중개거래,제주 제주시,25.05.09
807,제주특별자치도 제주시 일도이동,47-1,47,1,일도신천지,59.9700,202503,2,"25,000",-,6,개인,개인,1993,천수로 72,-,중개거래,제주 제주시,-
808,제주특별자치도 제주시 일도이동,47-1,47,1,일도신천지,59.9700,202503,2,"25,000",-,6,개인,개인,1993,천수로 72,20250624,중개거래,제주 제주시,-
809,제주특별자치도 제주시 오라이동,1359-1,1359,1,오라해누리,84.9200,202503,1,"31,500",-,6,개인,개인,2014,연사3길 6,-,중개거래,제주 제주시,25.04.23
810,제주특별자치도 제주시 연동,253-7,253,7,굿윌카운티,82.9550,202503,1,"28,500",-,3,개인,개인,2004,연동4길 6-12,-,중개거래,제주 제주시,-
811,제주특별자치도 제주시 노형동,753-1,753,1,중흥에스클래스,59.9570,202503,1,"58,000",105,6,개인,개인,2002,한라대학로 107,-,중개거래,제주 제주시,25.03.28
812,제주특별자치도 제주시 연동,253-7,253,7,굿윌카운티,82.9550,202503,1,"28,500",-,3,개인,개인,2004,연동4길 6-12,-,중개거래,제주 제주시,25.04.07
813,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,84.9626,202503,1,"34,600",102동,1,개인,개인,2019,일주동로 8547-10,-,중개거래,제주 서귀포시,25.06.30
814,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202503,1,"49,200",103동,1,개인,개인,2016,대청로 12,-,중개거래,제주 서귀포시,25.04.24
815,제주특별자치도 서귀포시 남원읍 남원리,1323-2,1323,2,남원에덴아파트,60.0000,202503,1,"9,000",남원에덴아파트 102,1,개인,개인,1996,남원광지로 5,-,직거래,-,25.03.13
816,제주특별자치도 제주시 노형동,2583-1,2583,1,노형뜨란채,75.7900,202503,1,"51,700",221,5,개인,개인,2006,수덕로 44,-,중개거래,제주 제주시,25.04.30
817,제주특별자치도 제주시 노형동,940-7,940,7,송우수자인,84.6100,202502,28,"43,900",-,9,개인,개인,2015,원노형로 35,20250501,중개거래,제주 제주시,-
818,제주특별자치도 제주시 일도이동,113-7,113,7,대유대림아파트,84.9450,202502,28,"47,000",제주대유대림아파트 310,5,개인,개인,1997,남광로 181,-,중개거래,제주 제주시,25.04.23
819,제주특별자치도 제주시 일도이동,321-19,321,19,일도더팰리스,88.8200,202502,28,"45,000",-,3,개인,개인,2023,고마로9길 3,-,중개거래,제주 제주시,25.04.10
820,제주특별자치도 서귀포시 중문동,1725,1725,0,중문남해오네뜨오션힐,84.8900,202502,28,"29,000",108동,1,개인,개인,2016,중문상로82번길 15,-,중개거래,제주 서귀포시,25.04.14
821,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,39.8400,202502,28,"17,200",102,8,개인,개인,2000,우정로11길 22,-,중개거래,제주 제주시,25.03.18
822,제주특별자치도 제주시 외도일동,418-6,418,6,백강수피아5차,84.7900,202502,28,"40,000",-,11,개인,개인,2018,우정로4길 4,-,중개거래,제주 제주시,25.04.25
823,제주특별자치도 제주시 용담일동,181-3,181,3,용담수목2차,94.9500,202502,28,"20,300",-,2,개인,개인,2003,남성로 35-1,-,중개거래,제주 제주시,25.03.11
824,제주특별자치도 제주시 건입동,1044-8,1044,8,건입미화,59.8700,202502,28,"12,500",나,5,개인,개인,1994,동문로21길 4-7,-,중개거래,제주 제주시,25.03.14
825,제주특별자치도 제주시 건입동,1044-8,1044,8,건입미화,59.8700,202502,28,"12,500",-,5,개인,개인,1994,동문로21길 4-7,20250228,중개거래,제주 제주시,-
826,제주특별자치도 제주시 애월읍 하귀1리,527-1,527,1,서진비치빌리지,62.7249,202502,28,"13,500",-,5,개인,개인,2001,하귀12길 12,-,직거래,-,25.02.28
827,제주특별자치도 제주시 연동,276-3,276,3,청목더웰연동,17.6127,202502,28,"9,800",-,11,개인,개인,2018,연동8길 28,-,직거래,-,25.02.28
828,제주특별자치도 제주시 노형동,940-7,940,7,송우수자인,84.6100,202502,28,"43,900",-,9,개인,개인,2015,원노형로 35,-,중개거래,제주 제주시,25.05.30
829,제주특별자치도 서귀포시 서귀동,220-1,220,1,늘푸른원룸,21.5404,202502,28,"8,500",-,4,개인,개인,2014,태평로 469,-,직거래,-,25.02.28
830,제주특별자치도 제주시 연동,308-6,308,6,아델하임,84.5000,202502,27,"35,500",-,9,개인,개인,2012,신대로 161,-,중개거래,제주 제주시,-
831,제주특별자치도 제주시 이도일동,1244-10,1244,10,태홍누리안2차,60.7300,202502,27,"24,700",-,8,개인,개인,2007,동광로9길 6,-,중개거래,제주 제주시,25.03.25
832,제주특별자치도 제주시 이도일동,1650-4,1650,4,장원월드컵,84.7800,202502,27,"41,000",101,7,개인,개인,2001,서광로29길 25,-,중개거래,제주 제주시,25.03.28
833,제주특별자치도 제주시 일도이동,113-5,113,5,일도2차대림,77.0200,202502,27,"38,500",203,1,개인,개인,1995,태성로 39,-,중개거래,제주 제주시,25.05.15
834,제주특별자치도 제주시 화북일동,12-1,12,1,화북주공4단지,49.5000,202502,27,"23,800",412,7,개인,개인,1998,동화로1길 10,-,중개거래,제주 제주시,25.02.27
835,제주특별자치도 제주시 도련일동,1911,1911,0,제주삼화사랑으로부영6차,84.3616,202502,27,"51,500",-,1,개인,개인,2013,화삼로 107,20250316,중개거래,제주 제주시,-
836,제주특별자치도 제주시 도련일동,1911,1911,0,제주삼화사랑으로부영6차,84.3616,202502,27,"51,500",604,1,개인,개인,2013,화삼로 107,-,중개거래,제주 제주시,25.05.23
837,제주특별자치도 제주시 연동,300-3,300,3,남해오네뜨,22.3600,202502,27,"12,000",-,2,개인,개인,2019,삼무로11길 9,-,중개거래,제주 제주시,25.03.12
838,제주특별자치도 서귀포시 동홍동,534-1,534,1,금성동홍스마트빌,84.7883,202502,27,"33,900",102동,7,개인,개인,2016,동홍로99번길 11,-,직거래,-,25.02.27
839,제주특별자치도 제주시 외도일동,499-4,499,4,제웅스카이빌,82.7700,202502,27,"25,300",-,4,개인,개인,2003,우정로 51,-,중개거래,제주 제주시,25.03.10
840,제주특별자치도 제주시 한림읍 동명리,1581-1,1581,1,제주한림코아루,84.9979,202502,26,"25,500",101동,4,개인,개인,2016,동명북2길 15,-,중개거래,제주 제주시,25.04.02
841,제주특별자치도 제주시 화북일동,1794,1794,0,SJ해피드림,82.8100,202502,26,"24,700",-,7,개인,개인,2008,진동로 44,-,중개거래,제주 제주시,25.04.25
842,제주특별자치도 제주시 삼양이동,2180-16,2180,16,한양,84.6300,202502,26,"12,900",-,5,개인,개인,1995,지석12길 5,-,중개거래,제주 제주시,25.03.26
843,제주특별자치도 제주시 노형동,754,754,0,부영5차,84.9508,202502,26,"59,900",506,9,개인,개인,2001,과원북2길 12,-,중개거래,제주 제주시,25.05.07
844,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202502,26,"51,000",102동,10,개인,개인,2016,대청로 12,-,중개거래,제주 서귀포시,25.04.30
845,제주특별자치도 제주시 연동,1964-2,1964,2,"대림(101,102동)",66.3300,202502,26,"25,000",102,6,개인,개인,1990,성신로 9,-,직거래,-,25.03.12
846,제주특별자치도 서귀포시 동홍동,201,201,0,삼아,84.4200,202502,25,"29,500",-,5,개인,개인,1991,태평로536번길 6,20250225,중개거래,제주 서귀포시,-
847,제주특별자치도 제주시 일도이동,113-5,113,5,일도2차대림,77.0200,202502,25,"41,000",204,2,개인,개인,1995,태성로 39,-,중개거래,제주 제주시,25.04.03
848,제주특별자치도 서귀포시 강정동,158-3,158,3,윙스스카이,25.7800,202502,25,"8,000",-,6,개인,개인,2012,신서귀로51번길 29,-,중개거래,전북 전주시 덕진구,25.02.28
