NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,제주특별자치도 서귀포시 동홍동,1202-1,1202,1,동홍동예그린하우스텔4차,39.0761,202407,9,"10,000",-,2,개인,개인,2016,중산간동로7929번길 26,-,중개거래,제주 서귀포시,24.07.24
2,제주특별자치도 제주시 이도이동,888,888,0,주공1,47.3300,202407,9,"52,000",114,1,개인,개인,1985,구남로7길 36,-,중개거래,제주 제주시,24.08.05
3,제주특별자치도 제주시 화북일동,1932-9,1932,9,삼부,59.0500,202407,9,"6,700",-,4,개인,개인,1992,진남로2길 38,-,중개거래,제주 제주시,24.08.14
4,제주특별자치도 제주시 일도이동,46-1,46,1,혜성대유,59.8200,202407,9,"31,500",101,3,개인,개인,1995,연수로 40,-,중개거래,제주 제주시,24.09.03
5,제주특별자치도 서귀포시 서호동,1540,1540,0,제주서귀포혁신도시엘에이치1단지,84.9400,202407,8,"38,500",107,10,개인,개인,2013,서호남로 92-15,-,중개거래,제주 서귀포시,24.07.29
6,제주특별자치도 제주시 삼도일동,532-13,532,13,화인퍼스트빌,84.5449,202407,8,"33,000",-,6,개인,개인,2013,서사로 112,20240716,직거래,-,-
7,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,74.9261,202407,8,"24,100",-,2,개인,법인,2019,일주동로 8547-10,20240719,직거래,-,-
8,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,74.9261,202407,8,"27,451",103동,6,개인,법인,2019,일주동로 8547-10,-,직거래,-,24.07.31
9,제주특별자치도 서귀포시 동홍동,2196,2196,0,동호아트리움,74.9261,202407,8,"27,600",-,8,개인,법인,2019,일주동로 8547-10,20240809,직거래,-,-
10,제주특별자치도 제주시 화북일동,9-1,9,1,"화북주공2,3단지",59.9300,202407,8,"31,900",화북2아파트203,7,개인,개인,1998,동화로1길 39,-,중개거래,제주 제주시,24.08.22
11,제주특별자치도 제주시 연동,1399-1,1399,1,대림이편한세상2차,84.9780,202407,8,"75,000",206,12,개인,개인,2002,연화로 25,-,중개거래,제주 제주시,24.09.13
12,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,84.7938,202407,8,"48,500",-,6,개인,개인,2017,첨단로동길 74,20240806,중개거래,제주 제주시,-
13,제주특별자치도 제주시 조천읍 함덕리,1213,1213,0,노블하우스,84.8400,202407,8,"19,000",-,3,개인,개인,2014,함덕16길 55,-,중개거래,제주 제주시,24.07.31
14,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,84.7938,202407,8,"48,500",213동,6,개인,개인,2017,첨단로동길 74,-,중개거래,제주 제주시,24.09.30
15,제주특별자치도 제주시 건입동,708-5,708,5,광덕(광덕사라봉),61.5600,202407,8,"13,700",-,3,개인,개인,1987,사라봉1길 50,20240823,중개거래,제주 제주시,-
16,제주특별자치도 제주시 일도이동,151-15,151,15,대원상록수,66.9700,202407,8,"12,000",-,5,개인,개인,1994,고마로3길 32,-,중개거래,제주 제주시,24.08.09
17,제주특별자치도 제주시 노형동,732-1,732,1,해오름,59.5600,202407,8,"54,000",101,11,개인,개인,2001,연화로 16,-,중개거래,제주 제주시,24.07.29
18,제주특별자치도 제주시 월평동,747,747,0,제주첨단꿈에그린3단지아파트,101.8684,202407,8,"70,000",303동,6,개인,법인,2018,첨단로동길 106,-,중개거래,제주 제주시,24.09.11
19,제주특별자치도 서귀포시 강정동,195,195,0,서귀포강정지구3블럭중흥에스-클래스,84.9297,202407,7,"52,000",111동,10,개인,개인,2016,대청로 12,-,중개거래,제주 서귀포시,24.08.23
20,제주특별자치도 제주시 월평동,745,745,0,제주첨단꿈에그린2단지아파트,84.7938,202407,6,"48,500",216동,3,개인,개인,2017,첨단로동길 74,-,중개거래,제주 제주시,24.08.12
21,제주특별자치도 제주시 삼도이동,300-4,300,4,미듬아뜨리에,84.2631,202407,6,"32,500",미듬아뜨리에 103,2,개인,개인,2006,중앙로26길 25,-,중개거래,제주 제주시,24.09.10
22,제주특별자치도 제주시 화북일동,10-1,10,1,화북주공1단지,84.6000,202407,6,"42,500",화북1아파트 110동,5,개인,개인,1998,동화로1길 11,-,중개거래,제주 제주시,24.08.14
23,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202407,6,"30,000",203,4,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,24.08.02
24,제주특별자치도 서귀포시 강정동,158-6,158,6,한빛테크놀즈105동,54.7125,202407,6,"9,900",-,4,개인,개인,2000,김정문화로27번길 23-6,-,중개거래,제주 서귀포시,24.08.05
25,제주특별자치도 제주시 조천읍 조천리,2645-1,2645,1,일이삼타운,67.7585,202407,5,"21,000",-,3,개인,법인,2017,조천북2길 28,-,중개거래,제주 제주시,24.08.14
26,제주특별자치도 제주시 노형동,754,754,0,부영5차,84.9508,202407,5,"61,000",505,6,개인,개인,2001,과원북2길 12,-,중개거래,제주 제주시,24.09.13
27,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202407,5,"31,000",201,8,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,24.08.09
28,제주특별자치도 서귀포시 동홍동,1369,1369,0,동홍동센트레빌,84.9196,202407,5,"49,700",105동,3,개인,개인,2021,중앙로182번길 40,-,중개거래,제주 서귀포시,24.09.11
